year,community,self_care,semi_disabled,disabled,elderly_total,new_entrants
1,A,499.836,151.164,75.24,726.24,49.84
2,A,504.313011,150.613209,85.83858,740.7648,50.8368
3,A,509.391515,150.333675,95.854906,755.580096,51.853536
4,A,515.036059,150.311779,105.34386,770.691698,52.890607
5,A,521.214883,150.534363,114.356286,786.105532,53.948419
1,B,412.718,133.722,73.72,620.16,42.56
2,B,417.849605,131.976004,82.73759,632.5632,43.4112
3,B,423.373479,130.702554,91.138431,645.214464,44.279424
4,B,429.270601,129.8499,98.998252,658.118753,45.165012
5,B,435.524065,129.372983,106.38408,671.281128,46.068313
1,C,637.782,204.858,95.76,938.4,64.4
2,C,644.315719,202.41877,110.43351,957.168,65.688
3,C,651.557197,200.612546,124.141618,976.31136,67.00176
4,C,659.467062,199.377797,136.992729,995.837587,68.341795
5,C,668.010123,198.660233,149.083983,1015.754339,69.708631
1,D,371.948,118.332,64.6,554.88,38.08
2,D,376.291423,117.074637,72.61154,565.9776,38.8416
3,D,381.008826,116.185273,80.103054,577.297152,39.618432
4,D,386.081058,115.626536,87.135502,588.843095,40.410801
5,D,391.491056,115.365653,93.763248,600.619957,41.219017
1,E,541.166,173.394,85.12,799.68,54.88
2,E,546.950454,171.386716,97.33643,815.6736,55.9776
3,E,553.317951,169.917774,108.751347,831.987072,57.097152
4,E,560.236806,168.93404,119.455968,848.626813,58.239095
5,E,567.678719,168.388727,129.531903,865.59935,59.403877
1,F,330.618,102.942,47.88,481.44,33.04
2,F,333.65398,102.149329,55.26549,491.0688,33.7008
3,F,337.08239,101.601384,62.206402,500.890176,34.374816
4,F,340.88031,101.279456,68.748213,510.90798,35.062312
5,F,345.02722,101.166568,74.932351,521.126139,35.763559
1,G,597.572,189.468,94.24,881.28,60.48
2,G,603.836797,187.541343,107.52746,898.9056,61.6896
3,G,610.754326,186.161871,119.967515,916.883712,62.923392
4,G,618.288722,185.278147,131.654517,935.221386,64.18186
5,G,626.40794,184.844659,142.673215,953.925814,65.465497
1,H,395.402,126.198,57.76,579.36,39.76
2,H,399.283664,124.802725,66.86081,590.9472,40.5552
3,H,403.616409,123.775707,75.374028,602.766144,41.366304
4,H,408.374617,123.082831,83.364019,614.821467,42.19363
5,H,413.535374,122.693835,90.888687,627.117896,43.037503
1,I,508.774,165.186,76.76,750.72,51.52
2,I,514.135611,162.984118,88.61467,765.7344,52.5504
3,I,520.050942,161.330719,99.667428,781.049088,53.601408
4,I,526.489653,160.169942,110.010475,796.67007,54.673436
5,I,533.424642,159.452733,119.726095,812.603471,55.766905
1,J,459.626,142.614,66.88,669.12,45.92
2,J,463.834089,141.583981,77.08433,682.5024,46.8384
3,J,468.588645,140.883211,86.680592,696.152448,47.775168
4,J,473.857719,140.48731,95.730467,710.075497,48.730671
5,J,479.612701,140.374068,104.290238,724.277007,49.705285
