year,community,self_care,semi_disabled,disabled,elderly_total,new_entrants
5,A,521.214883,150.534363,114.356286,786.105532,53.948419
5,B,435.524065,129.372983,106.38408,671.281128,46.068313
5,C,668.010123,198.660233,149.083983,1015.754339,69.708631
5,D,391.491056,115.365653,93.763248,600.619957,41.219017
5,E,567.678719,168.388727,129.531903,865.59935,59.403877
5,F,345.02722,101.166568,74.932351,521.126139,35.763559
5,G,626.40794,184.844659,142.673215,953.925814,65.465497
5,H,413.535374,122.693835,90.888687,627.117896,43.037503
5,I,533.424642,159.452733,119.726095,812.603471,55.766905
5,J,479.612701,140.374068,104.290238,724.277007,49.705285
