year,community,self_care,semi_disabled,disabled,elderly_total,new_entrants
1,A,500,151,75,726,50
2,A,504,151,86,741,51
3,A,509,150,96,756,52
4,A,515,150,105,771,53
5,A,521,151,114,786,54
1,B,413,134,74,620,43
2,B,418,132,83,633,43
3,B,423,131,91,645,44
4,B,429,130,99,658,45
5,B,436,129,106,671,46
1,C,638,205,96,938,64
2,C,644,202,110,957,66
3,C,652,201,124,976,67
4,C,659,199,137,996,68
5,C,668,199,149,1016,70
1,D,372,118,65,555,38
2,D,376,117,73,566,39
3,D,381,116,80,577,40
4,D,386,116,87,589,40
5,D,391,115,94,601,41
1,E,541,173,85,800,55
2,E,547,171,97,816,56
3,E,553,170,109,832,57
4,E,560,169,119,849,58
5,E,568,168,130,866,59
1,F,331,103,48,481,33
2,F,334,102,55,491,34
3,F,337,102,62,501,34
4,F,341,101,69,511,35
5,F,345,101,75,521,36
1,G,598,189,94,881,60
2,G,604,188,108,899,62
3,G,611,186,120,917,63
4,G,618,185,132,935,64
5,G,626,185,143,954,65
1,H,395,126,58,579,40
2,H,399,125,67,591,41
3,H,404,124,75,603,41
4,H,408,123,83,615,42
5,H,414,123,91,627,43
1,I,509,165,77,751,52
2,I,514,163,89,766,53
3,I,520,161,100,781,54
4,I,526,160,110,797,55
5,I,533,159,120,813,56
1,J,460,143,67,669,46
2,J,464,142,77,683,47
3,J,469,141,87,696,48
4,J,474,140,96,710,49
5,J,480,140,104,724,50
