community,service,theoretical_monthly_demand
A,助餐,12823.533909
A,日间照料,8335.613289
A,上门护理,2275.481606
A,康复理疗,2330.704932
A,助浴,758.493869
A,紧急救助,571.785453
B,助餐,11025.246334
B,日间照料,7210.327724
B,上门护理,2052.846857
B,康复理疗,2026.844542
B,助浴,684.282286
B,紧急救助,513.853833
C,助餐,16605.194008
C,日间照料,10808.83594
C,上门护理,2980.969194
C,康复理疗,3025.165076
C,助浴,993.656398
C,紧急救助,746.1137
D,助餐,9850.979297
D,日间照料,6434.786051
D,上门护理,1817.35289
D,康复理疗,1807.024211
D,助浴,605.784297
D,紧急救助,455.379054
E,助餐,14164.978485
E,日间照料,9230.446193
E,上门护理,2564.715202
E,康复理疗,2586.103767
E,助浴,854.905067
E,紧急救助,642.136245
F,助餐,8502.224162
F,日间照料,5525.33203
F,上门护理,1506.187618
F,康复理疗,1544.314818
F,助浴,502.062539
F,紧急救助,377.717704
G,助餐,15605.415068
G,日间照料,10167.206613
G,上门护理,2821.146531
G,康复理疗,2848.233805
G,助浴,940.382177
G,紧急救助,706.825494
H,助餐,10242.923056
H,日间照料,6661.993053
H,上门护理,1826.827258
H,康复理疗,1863.178212
H,助浴,608.942419
H,紧急救助,457.390203
I,助餐,13290.973759
I,日间照料,8654.805123
I,上门护理,2393.429545
I,康复理疗,2423.016791
I,助浴,797.809848
I,紧急救助,598.644716
J,助餐,11816.444411
J,日间照料,7679.362846
J,上门护理,2093.727268
J,康复理疗,2146.463103
J,助浴,697.909089
J,紧急救助,525.186688
