community,care_level,service,theoretical_monthly_demand
A,自理,助餐,7297.008366
A,自理,日间照料,4169.719066
A,自理,上门护理,0.0
A,自理,康复理疗,1042.429767
A,自理,助浴,0.0
A,自理,紧急救助,78.182232
A,半失能,助餐,3010.687257
A,半失能,日间照料,2107.48108
A,半失能,上门护理,903.206177
A,半失能,康复理疗,602.137451
A,半失能,助浴,301.068726
A,半失能,紧急救助,150.534363
A,失能,助餐,2515.838286
A,失能,日间照料,2058.413143
A,失能,上门护理,1372.275429
A,失能,康复理疗,686.137714
A,失能,助浴,457.425143
A,失能,紧急救助,343.068857
B,自理,助餐,6097.336916
B,自理,日间照料,3484.192523
B,自理,上门护理,0.0
B,自理,康复理疗,871.048131
B,自理,助浴,0.0
B,自理,紧急救助,65.32861
B,半失能,助餐,2587.459659
B,半失能,日间照料,1811.221761
B,半失能,上门护理,776.237898
B,半失能,康复理疗,517.491932
B,半失能,助浴,258.745966
B,半失能,紧急救助,129.372983
B,失能,助餐,2340.44976
B,失能,日间照料,1914.91344
B,失能,上门护理,1276.60896
B,失能,康复理疗,638.30448
B,失能,助浴,425.53632
B,失能,紧急救助,319.15224
C,自理,助餐,9352.14172
C,自理,日间照料,5344.080983
C,自理,上门护理,0.0
C,自理,康复理疗,1336.020246
C,自理,助浴,0.0
C,自理,紧急救助,100.201518
C,半失能,助餐,3973.204663
C,半失能,日间照料,2781.243264
C,半失能,上门护理,1191.961399
C,半失能,康复理疗,794.640933
C,半失能,助浴,397.320466
C,半失能,紧急救助,198.660233
C,失能,助餐,3279.847624
C,失能,日间照料,2683.511693
C,失能,上门护理,1789.007795
C,失能,康复理疗,894.503898
C,失能,助浴,596.335932
C,失能,紧急救助,447.251949
D,自理,助餐,5480.874786
D,自理,日间照料,3131.928449
D,自理,上门护理,0.0
D,自理,康复理疗,782.982112
D,自理,助浴,0.0
D,自理,紧急救助,58.723658
D,半失能,助餐,2307.313064
D,半失能,日间照料,1615.119145
D,半失能,上门护理,692.193919
D,半失能,康复理疗,461.462613
D,半失能,助浴,230.731306
D,半失能,紧急救助,115.365653
D,失能,助餐,2062.791447
D,失能,日间照料,1687.738456
D,失能,上门护理,1125.158971
D,失能,康复理疗,562.579485
D,失能,助浴,375.05299
D,失能,紧急救助,281.289743
E,自理,助餐,7947.502069
E,自理,日间照料,4541.429754
E,自理,上门护理,0.0
E,自理,康复理疗,1135.357438
E,自理,助浴,0.0
E,自理,紧急救助,85.151808
E,半失能,助餐,3367.774546
E,半失能,日间照料,2357.442182
E,半失能,上门护理,1010.332364
E,半失能,康复理疗,673.554909
E,半失能,助浴,336.777455
E,半失能,紧急救助,168.388727
E,失能,助餐,2849.70187
E,失能,日间照料,2331.574257
E,失能,上门护理,1554.382838
E,失能,康复理疗,777.191419
E,失能,助浴,518.127613
E,失能,紧急救助,388.59571
F,自理,助餐,4830.381083
F,自理,日间照料,2760.217762
F,自理,上门护理,0.0
F,自理,康复理疗,690.05444
F,自理,助浴,0.0
F,自理,紧急救助,51.754083
F,半失能,助餐,2023.33136
F,半失能,日间照料,1416.331952
F,半失能,上门护理,606.999408
F,半失能,康复理疗,404.666272
F,半失能,助浴,202.333136
F,半失能,紧急救助,101.166568
