community,service,theoretical_monthly_demand
A,助餐,12824
A,日间照料,8336
A,上门护理,2275
A,康复理疗,2331
A,助浴,758
A,紧急救助,572
B,助餐,11025
B,日间照料,7210
B,上门护理,2053
B,康复理疗,2027
B,助浴,684
B,紧急救助,514
C,助餐,16605
C,日间照料,10809
C,上门护理,2981
C,康复理疗,3025
C,助浴,994
C,紧急救助,746
D,助餐,9851
D,日间照料,6435
D,上门护理,1817
D,康复理疗,1807
D,助浴,606
D,紧急救助,455
E,助餐,14165
E,日间照料,9230
E,上门护理,2565
E,康复理疗,2586
E,助浴,855
E,紧急救助,642
F,助餐,8502
F,日间照料,5525
F,上门护理,1506
F,康复理疗,1544
F,助浴,502
F,紧急救助,378
G,助餐,15605
G,日间照料,10167
G,上门护理,2821
G,康复理疗,2848
G,助浴,940
G,紧急救助,707
H,助餐,10243
H,日间照料,6662
H,上门护理,1827
H,康复理疗,1863
H,助浴,609
H,紧急救助,457
I,助餐,13291
I,日间照料,8655
I,上门护理,2393
I,康复理疗,2423
I,助浴,798
I,紧急救助,599
J,助餐,11816
J,日间照料,7679
J,上门护理,2094
J,康复理疗,2146
J,助浴,698
J,紧急救助,525
