community,care_level,service,theoretical_monthly_demand
A,自理,助餐,7297
A,自理,日间照料,4170
A,自理,上门护理,0
A,自理,康复理疗,1042
A,自理,助浴,0
A,自理,紧急救助,78
A,半失能,助餐,3011
A,半失能,日间照料,2107
A,半失能,上门护理,903
A,半失能,康复理疗,602
A,半失能,助浴,301
A,半失能,紧急救助,151
A,失能,助餐,2516
A,失能,日间照料,2058
A,失能,上门护理,1372
A,失能,康复理疗,686
A,失能,助浴,457
A,失能,紧急救助,343
B,自理,助餐,6097
B,自理,日间照料,3484
B,自理,上门护理,0
B,自理,康复理疗,871
B,自理,助浴,0
B,自理,紧急救助,65
B,半失能,助餐,2587
B,半失能,日间照料,1811
B,半失能,上门护理,776
B,半失能,康复理疗,517
B,半失能,助浴,259
B,半失能,紧急救助,129
B,失能,助餐,2340
B,失能,日间照料,1915
B,失能,上门护理,1277
B,失能,康复理疗,638
B,失能,助浴,426
B,失能,紧急救助,319
C,自理,助餐,9352
C,自理,日间照料,5344
C,自理,上门护理,0
C,自理,康复理疗,1336
C,自理,助浴,0
C,自理,紧急救助,100
C,半失能,助餐,3973
C,半失能,日间照料,2781
C,半失能,上门护理,1192
C,半失能,康复理疗,795
C,半失能,助浴,397
C,半失能,紧急救助,199
C,失能,助餐,3280
C,失能,日间照料,2684
C,失能,上门护理,1789
C,失能,康复理疗,895
C,失能,助浴,596
C,失能,紧急救助,447
D,自理,助餐,5481
D,自理,日间照料,3132
D,自理,上门护理,0
D,自理,康复理疗,783
D,自理,助浴,0
D,自理,紧急救助,59
D,半失能,助餐,2307
D,半失能,日间照料,1615
D,半失能,上门护理,692
D,半失能,康复理疗,461
D,半失能,助浴,231
D,半失能,紧急救助,115
D,失能,助餐,2063
D,失能,日间照料,1688
D,失能,上门护理,1125
D,失能,康复理疗,563
D,失能,助浴,375
D,失能,紧急救助,281
E,自理,助餐,7948
E,自理,日间照料,4541
E,自理,上门护理,0
E,自理,康复理疗,1135
E,自理,助浴,0
E,自理,紧急救助,85
E,半失能,助餐,3368
E,半失能,日间照料,2357
E,半失能,上门护理,1010
E,半失能,康复理疗,674
E,半失能,助浴,337
E,半失能,紧急救助,168
E,失能,助餐,2850
E,失能,日间照料,2332
E,失能,上门护理,1554
E,失能,康复理疗,777
E,失能,助浴,518
E,失能,紧急救助,389
F,自理,助餐,4830
F,自理,日间照料,2760
F,自理,上门护理,0
F,自理,康复理疗,690
F,自理,助浴,0
F,自理,紧急救助,52
F,半失能,助餐,2023
F,半失能,日间照料,1416
F,半失能,上门护理,607
F,半失能,康复理疗,405
F,半失能,助浴,202
F,半失能,紧急救助,101
F,失能,助餐,1649
F,失能,日间照料,1349
F,失能,上门护理,899
F,失能,康复理疗,450
F,失能,助浴,300
F,失能,紧急救助,225
G,自理,助餐,8770
G,自理,日间照料,5011
G,自理,上门护理,0
G,自理,康复理疗,1253
G,自理,助浴,0
G,自理,紧急救助,94
G,半失能,助餐,3697
G,半失能,日间照料,2588
G,半失能,上门护理,1109
G,半失能,康复理疗,739
G,半失能,助浴,370
G,半失能,紧急救助,185
G,失能,助餐,3139
G,失能,日间照料,2568
G,失能,上门护理,1712
G,失能,康复理疗,856
G,失能,助浴,571
G,失能,紧急救助,428
H,自理,助餐,5789
H,自理,日间照料,3308
H,自理,上门护理,0
H,自理,康复理疗,827
H,自理,助浴,0
H,自理,紧急救助,62
H,半失能,助餐,2454
H,半失能,日间照料,1718
H,半失能,上门护理,736
H,半失能,康复理疗,491
H,半失能,助浴,245
H,半失能,紧急救助,123
H,失能,助餐,2000
H,失能,日间照料,1636
H,失能,上门护理,1091
H,失能,康复理疗,545
H,失能,助浴,364
H,失能,紧急救助,273
I,自理,助餐,7468
I,自理,日间照料,4267
I,自理,上门护理,0
I,自理,康复理疗,1067
I,自理,助浴,0
I,自理,紧急救助,80
I,半失能,助餐,3189
I,半失能,日间照料,2232
I,半失能,上门护理,957
I,半失能,康复理疗,638
I,半失能,助浴,319
I,半失能,紧急救助,159
I,失能,助餐,2634
I,失能,日间照料,2155
I,失能,上门护理,1437
I,失能,康复理疗,718
I,失能,助浴,479
I,失能,紧急救助,359
J,自理,助餐,6715
J,自理,日间照料,3837
J,自理,上门护理,0
J,自理,康复理疗,959
J,自理,助浴,0
J,自理,紧急救助,72
J,半失能,助餐,2807
J,半失能,日间照料,1965
J,半失能,上门护理,842
J,半失能,康复理疗,561
J,半失能,助浴,281
J,半失能,紧急救助,140
J,失能,助餐,2294
J,失能,日间照料,1877
J,失能,上门护理,1251
J,失能,康复理疗,626
J,失能,助浴,417
J,失能,紧急救助,313
