community,service,adjusted_monthly_demand
A,助餐,12432
A,日间照料,8015
A,上门护理,2062
A,康复理疗,2224
A,助浴,687
A,紧急救助,572
B,助餐,10339
B,日间照料,6666
B,上门护理,1715
B,康复理疗,1850
B,助浴,572
B,紧急救助,514
C,助餐,16421
C,日间照料,10658
C,上门护理,2880
C,康复理疗,2975
C,助浴,960
C,紧急救助,746
D,助餐,9002
D,日间照料,5772
D,上门护理,1421
D,康复理疗,1595
D,助浴,474
D,紧急救助,455
E,助餐,13792
E,日间照料,8925
E,上门护理,2361
E,康复理疗,2484
E,助浴,787
E,紧急救助,642
F,助餐,7597
F,日间照料,4828
F,上门护理,1101
F,康复理疗,1324
F,助浴,367
F,紧急救助,378
G,助餐,15273
G,日间照料,9895
G,上门护理,2640
G,康复理疗,2758
G,助浴,880
G,紧急救助,707
H,助餐,9518
H,日间照料,6094
H,上门护理,1484
H,康复理疗,1681
H,助浴,495
H,紧急救助,457
I,助餐,12816
I,日间照料,8266
I,上门护理,2134
I,康复理疗,2293
I,助浴,711
I,紧急救助,599
J,助餐,11270
J,日间照料,7241
J,上门护理,1814
J,康复理疗,2003
J,助浴,605
J,紧急救助,525
