community,service,adjusted_monthly_demand
A,助餐,12431.996163
A,日间照料,8015.264224
A,上门护理,2061.915562
A,康复理疗,2223.921911
A,助浴,687.305187
A,紧急救助,571.785453
B,助餐,10338.688123
B,日间照料,6666.082661
B,上门护理,1714.674277
B,康复理疗,1850.361014
B,助浴,571.558092
B,紧急救助,513.853833
C,助餐,16420.566823
C,日间照料,10657.777334
C,上门护理,2880.263457
C,康复理疗,2974.812207
C,助浴,960.087819
C,紧急救助,746.1137
D,助餐,9001.533349
D,日间照料,5771.962676
D,上门护理,1420.849669
D,康复理疗,1595.158892
D,助浴,473.616556
D,紧急救助,455.379054
E,助餐,13792.252578
E,日间照料,8925.488633
E,上门护理,2361.410162
E,康复理疗,2484.451247
E,助浴,787.136721
E,紧急救助,642.136245
F,助餐,7597.252049
F,日间照料,4827.662811
F,上门护理,1101.380911
F,康复理疗,1323.819633
F,助浴,367.12697
F,紧急救助,377.717704
G,助餐,15272.825852
G,日间照料,9895.088164
G,上门护理,2639.734232
G,康复理疗,2757.527655
G,助浴,879.911411
G,紧急救助,706.825494
H,助餐,9518.165626
H,日间照料,6094.411477
H,上门护理,1484.262558
H,康复理疗,1681.148957
H,助浴,494.754186
H,紧急救助,457.390203
I,助餐,12815.637374
I,日间照料,8265.893535
I,上门护理,2134.155153
I,康复理疗,2293.379595
I,助浴,711.385051
I,紧急救助,598.644716
J,助餐,11270.272275
J,日间照料,7241.374846
J,上门护理,1814.258502
J,康复理疗,2002.97175
J,助浴,604.752834
J,紧急救助,525.186688
