community,care_level,service,monthly_income,budget_limit,theoretical_per_person,adjusted_per_person,adjustment_scale,population,adjusted_monthly_demand
A,自理,助餐,3400.0,680.0,14.0,14.0,1.0,521.214883,7297.008366
A,自理,日间照料,3400.0,680.0,8.0,8.0,1.0,521.214883,4169.719066
A,自理,上门护理,3400.0,680.0,0.0,0.0,1.0,521.214883,0.0
A,自理,康复理疗,3400.0,680.0,2.0,2.0,1.0,521.214883,1042.429767
A,自理,助浴,3400.0,680.0,0.0,0.0,1.0,521.214883,0.0
A,自理,紧急救助,3400.0,680.0,0.15,0.15,1.0,521.214883,78.182232
A,半失能,助餐,3400.0,850.0,20.0,20.0,1.0,150.534363,3010.687257
A,半失能,日间照料,3400.0,850.0,14.0,14.0,1.0,150.534363,2107.48108
A,半失能,上门护理,3400.0,850.0,6.0,6.0,1.0,150.534363,903.206177
A,半失能,康复理疗,3400.0,850.0,4.0,4.0,1.0,150.534363,602.137451
A,半失能,助浴,3400.0,850.0,2.0,2.0,1.0,150.534363,301.068726
A,半失能,紧急救助,3400.0,850.0,1.0,1.0,1.0,150.534363,150.534363
A,失能,助餐,3400.0,1020.0,22.0,18.576159,0.844371,114.356286,2124.30054
A,失能,日间照料,3400.0,1020.0,18.0,15.198675,0.844371,114.356286,1738.064078
A,失能,上门护理,3400.0,1020.0,12.0,10.13245,0.844371,114.356286,1158.709385
A,失能,康复理疗,3400.0,1020.0,6.0,5.066225,0.844371,114.356286,579.354693
A,失能,助浴,3400.0,1020.0,4.0,3.377483,0.844371,114.356286,386.236462
A,失能,紧急救助,3400.0,1020.0,3.0,3.0,0.844371,114.356286,343.068857
B,自理,助餐,3100.0,620.0,14.0,14.0,1.0,435.524065,6097.336916
B,自理,日间照料,3100.0,620.0,8.0,8.0,1.0,435.524065,3484.192523
B,自理,上门护理,3100.0,620.0,0.0,0.0,1.0,435.524065,0.0
B,自理,康复理疗,3100.0,620.0,2.0,2.0,1.0,435.524065,871.048131
B,自理,助浴,3100.0,620.0,0.0,0.0,1.0,435.524065,0.0
B,自理,紧急救助,3100.0,620.0,0.15,0.15,1.0,435.524065,65.32861
B,半失能,助餐,3100.0,775.0,20.0,18.856448,0.942822,129.372983,2439.514885
B,半失能,日间照料,3100.0,775.0,14.0,13.199513,0.942822,129.372983,1707.66042
B,半失能,上门护理,3100.0,775.0,6.0,5.656934,0.942822,129.372983,731.854466
B,半失能,康复理疗,3100.0,775.0,4.0,3.77129,0.942822,129.372983,487.902977
B,半失能,助浴,3100.0,775.0,2.0,1.885645,0.942822,129.372983,243.951489
B,半失能,紧急救助,3100.0,775.0,1.0,1.0,0.942822,129.372983,129.372983
B,失能,助餐,3100.0,930.0,22.0,16.937086,0.769868,106.38408,1801.836322
B,失能,日间照料,3100.0,930.0,18.0,13.857616,0.769868,106.38408,1474.229718
B,失能,上门护理,3100.0,930.0,12.0,9.238411,0.769868,106.38408,982.819812
B,失能,康复理疗,3100.0,930.0,6.0,4.619205,0.769868,106.38408,491.409906
B,失能,助浴,3100.0,930.0,4.0,3.07947,0.769868,106.38408,327.606604
B,失能,紧急救助,3100.0,930.0,3.0,3.0,0.769868,106.38408,319.15224
C,自理,助餐,3800.0,760.0,14.0,14.0,1.0,668.010123,9352.14172
C,自理,日间照料,3800.0,760.0,8.0,8.0,1.0,668.010123,5344.080983
C,自理,上门护理,3800.0,760.0,0.0,0.0,1.0,668.010123,0.0
C,自理,康复理疗,3800.0,760.0,2.0,2.0,1.0,668.010123,1336.020246
C,自理,助浴,3800.0,760.0,0.0,0.0,1.0,668.010123,0.0
C,自理,紧急救助,3800.0,760.0,0.15,0.15,1.0,668.010123,100.201518
C,半失能,助餐,3800.0,950.0,20.0,20.0,1.0,198.660233,3973.204663
C,半失能,日间照料,3800.0,950.0,14.0,14.0,1.0,198.660233,2781.243264
C,半失能,上门护理,3800.0,950.0,6.0,6.0,1.0,198.660233,1191.961399
C,半失能,康复理疗,3800.0,950.0,4.0,4.0,1.0,198.660233,794.640933
C,半失能,助浴,3800.0,950.0,2.0,2.0,1.0,198.660233,397.320466
C,半失能,紧急救助,3800.0,950.0,1.0,1.0,1.0,198.660233,198.660233
C,失能,助餐,3800.0,1140.0,22.0,20.761589,0.943709,149.083983,3095.22044
C,失能,日间照料,3800.0,1140.0,18.0,16.986755,0.943709,149.083983,2532.453087
C,失能,上门护理,3800.0,1140.0,12.0,11.324503,0.943709,149.083983,1688.302058
C,失能,康复理疗,3800.0,1140.0,6.0,5.662252,0.943709,149.083983,844.151029
C,失能,助浴,3800.0,1140.0,4.0,3.774834,0.943709,149.083983,562.767353
C,失能,紧急救助,3800.0,1140.0,3.0,3.0,0.943709,149.083983,447.251949
D,自理,助餐,2900.0,580.0,14.0,14.0,1.0,391.491056,5480.874786
D,自理,日间照料,2900.0,580.0,8.0,8.0,1.0,391.491056,3131.928449
D,自理,上门护理,2900.0,580.0,0.0,0.0,1.0,391.491056,0.0
D,自理,康复理疗,2900.0,580.0,2.0,2.0,1.0,391.491056,782.982112
D,自理,助浴,2900.0,580.0,0.0,0.0,1.0,391.491056,0.0
D,自理,紧急救助,2900.0,580.0,0.15,0.15,1.0,391.491056,58.723658
D,半失能,助餐,2900.0,725.0,20.0,17.639903,0.881995,115.365653,2035.038895
D,半失能,日间照料,2900.0,725.0,14.0,12.347932,0.881995,115.365653,1424.527226
D,半失能,上门护理,2900.0,725.0,6.0,5.291971,0.881995,115.365653,610.511668
D,半失能,康复理疗,2900.0,725.0,4.0,3.527981,0.881995,115.365653,407.007779
D,半失能,助浴,2900.0,725.0,2.0,1.76399,0.881995,115.365653,203.503889
D,半失能,紧急救助,2900.0,725.0,1.0,1.0,0.881995,115.365653,115.365653
D,失能,助餐,2900.0,870.0,22.0,15.844371,0.720199,93.763248,1485.619668
D,失能,日间照料,2900.0,870.0,18.0,12.963576,0.720199,93.763248,1215.507001
D,失能,上门护理,2900.0,870.0,12.0,8.642384,0.720199,93.763248,810.338001
D,失能,康复理疗,2900.0,870.0,6.0,4.321192,0.720199,93.763248,405.169
D,失能,助浴,2900.0,870.0,4.0,2.880795,0.720199,93.763248,270.112667
D,失能,紧急救助,2900.0,870.0,3.0,3.0,0.720199,93.763248,281.289743
E,自理,助餐,3500.0,700.0,14.0,14.0,1.0,567.678719,7947.502069
E,自理,日间照料,3500.0,700.0,8.0,8.0,1.0,567.678719,4541.429754
E,自理,上门护理,3500.0,700.0,0.0,0.0,1.0,567.678719,0.0
E,自理,康复理疗,3500.0,700.0,2.0,2.0,1.0,567.678719,1135.357438
E,自理,助浴,3500.0,700.0,0.0,0.0,1.0,567.678719,0.0
E,自理,紧急救助,3500.0,700.0,0.15,0.15,1.0,567.678719,85.151808
E,半失能,助餐,3500.0,875.0,20.0,20.0,1.0,168.388727,3367.774546
E,半失能,日间照料,3500.0,875.0,14.0,14.0,1.0,168.388727,2357.442182
E,半失能,上门护理,3500.0,875.0,6.0,6.0,1.0,168.388727,1010.332364
E,半失能,康复理疗,3500.0,875.0,4.0,4.0,1.0,168.388727,673.554909
E,半失能,助浴,3500.0,875.0,2.0,2.0,1.0,168.388727,336.777455
E,半失能,紧急救助,3500.0,875.0,1.0,1.0,1.0,168.388727,168.388727
E,失能,助餐,3500.0,1050.0,22.0,19.122517,0.869205,129.531903,2476.975963
E,失能,日间照料,3500.0,1050.0,18.0,15.645695,0.869205,129.531903,2026.616697
E,失能,上门护理,3500.0,1050.0,12.0,10.430464,0.869205,129.531903,1351.077798
E,失能,康复理疗,3500.0,1050.0,6.0,5.215232,0.869205,129.531903,675.538899
E,失能,助浴,3500.0,1050.0,4.0,3.476821,0.869205,129.531903,450.359266
E,失能,紧急救助,3500.0,1050.0,3.0,3.0,0.869205,129.531903,388.59571
F,自理,助餐,2700.0,540.0,14.0,14.0,1.0,345.02722,4830.381083
F,自理,日间照料,2700.0,540.0,8.0,8.0,1.0,345.02722,2760.217762
