community,care_level,service,monthly_income,budget_limit,theoretical_per_person,adjusted_per_person,adjustment_scale,population,adjusted_monthly_demand
A,自理,助餐,3400.0,680.0,14.0,14.0,1.0,521.2149,7297.0084
A,自理,日间照料,3400.0,680.0,8.0,8.0,1.0,521.2149,4169.7191
A,自理,上门护理,3400.0,680.0,0.0,0.0,1.0,521.2149,0.0
A,自理,康复理疗,3400.0,680.0,2.0,2.0,1.0,521.2149,1042.4298
A,自理,助浴,3400.0,680.0,0.0,0.0,1.0,521.2149,0.0
A,自理,紧急救助,3400.0,680.0,0.15,0.15,1.0,521.2149,78.1822
A,半失能,助餐,3400.0,850.0,20.0,20.0,1.0,150.5344,3010.6873
A,半失能,日间照料,3400.0,850.0,14.0,14.0,1.0,150.5344,2107.4811
A,半失能,上门护理,3400.0,850.0,6.0,6.0,1.0,150.5344,903.2062
A,半失能,康复理疗,3400.0,850.0,4.0,4.0,1.0,150.5344,602.1375
A,半失能,助浴,3400.0,850.0,2.0,2.0,1.0,150.5344,301.0687
A,半失能,紧急救助,3400.0,850.0,1.0,1.0,1.0,150.5344,150.5344
A,失能,助餐,3400.0,1020.0,22.0,18.5762,0.8444,114.3563,2124.3005
A,失能,日间照料,3400.0,1020.0,18.0,15.1987,0.8444,114.3563,1738.0641
A,失能,上门护理,3400.0,1020.0,12.0,10.1325,0.8444,114.3563,1158.7094
A,失能,康复理疗,3400.0,1020.0,6.0,5.0662,0.8444,114.3563,579.3547
A,失能,助浴,3400.0,1020.0,4.0,3.3775,0.8444,114.3563,386.2365
A,失能,紧急救助,3400.0,1020.0,3.0,3.0,0.8444,114.3563,343.0689
B,自理,助餐,3100.0,620.0,14.0,14.0,1.0,435.5241,6097.3369
B,自理,日间照料,3100.0,620.0,8.0,8.0,1.0,435.5241,3484.1925
B,自理,上门护理,3100.0,620.0,0.0,0.0,1.0,435.5241,0.0
B,自理,康复理疗,3100.0,620.0,2.0,2.0,1.0,435.5241,871.0481
B,自理,助浴,3100.0,620.0,0.0,0.0,1.0,435.5241,0.0
B,自理,紧急救助,3100.0,620.0,0.15,0.15,1.0,435.5241,65.3286
B,半失能,助餐,3100.0,775.0,20.0,18.8564,0.9428,129.373,2439.5149
B,半失能,日间照料,3100.0,775.0,14.0,13.1995,0.9428,129.373,1707.6604
