community,primary_station,overflow_station,geographic_reachable,actually_served,geographic_population_covered,served_population_covered,adjusted_demand_daily,raw_served_demand_daily,effective_person_times_daily,demand_service_ratio,service_access_performance,primary_load_daily,overflow_load_daily,unmet_load_daily,geographic_satisfaction,response_satisfaction,price_satisfaction,service_satisfaction
A,A,,1,1,786.1055,786.1055,866.4063,866.4063,762.4375,1.0,0.88,866.4063,0.0,0.0,1.0,0.6,1.0,0.88
B,J,C,1,1,671.2811,671.2811,721.8406,704.7121,563.7697,0.976271,0.781017,0.0,704.7121,17.1285,1.0,0.6,1.0,0.8
C,C,,1,1,1015.7543,1015.7543,1154.654,1154.654,1016.0956,1.0,0.88,1154.654,0.0,0.0,1.0,0.6,1.0,0.88
D,J,C,1,1,600.62,600.62,623.95,426.4786,332.6533,0.683514,0.533141,0.0,426.4786,197.4714,0.9,0.6,1.0,0.78
E,F,,1,1,865.5993,865.5993,966.4292,966.4292,831.1291,1.0,0.86,966.4292,0.0,0.0,0.9,0.6,1.0,0.86
F,F,,1,1,521.1261,521.1261,519.832,33.5708,29.5423,0.06458,0.056831,33.5708,0.0,486.2612,1.0,0.6,1.0,0.88
G,I,C,1,1,953.9258,953.9258,1071.7304,1071.7304,915.9497,1.0,0.854646,1000.0,71.7304,0.0,0.9,0.6,1.0,0.854646
H,J,C,1,1,627.1179,627.1179,657.6711,642.4248,513.9398,0.976818,0.781454,0.0,642.4248,15.2463,1.0,0.6,1.0,0.8
I,I,J,1,1,812.6035,812.6035,893.9698,874.015,699.212,0.977678,0.782143,0.0,874.015,19.9548,1.0,0.6,1.0,0.8
J,J,A,1,1,724.277,724.277,781.9606,259.5787,217.7418,0.331959,0.278456,125.985,133.5937,522.3819,1.0,0.6,1.0,0.838828
