community,primary_station,geographic_reachable,actually_served,geographic_population_covered,served_population_covered,adjusted_demand_daily,raw_served_demand_daily,effective_person_times_daily,demand_service_ratio,service_access_performance,primary_load_daily,unmet_load_daily,geographic_satisfaction,response_satisfaction,price_satisfaction,service_satisfaction
A,J,1,1,786.1055,645.7906,866.4063,711.7582,697.523,0.821506,0.805076,711.7582,154.6481,0.9,1.0,1.0,0.98
B,J,1,1,671.2811,551.4616,721.8406,592.9966,592.9966,0.821506,0.821506,592.9966,128.844,1.0,1.0,1.0,1.0
C,G,1,1,1015.7543,325.5253,1154.654,370.0394,362.6386,0.320476,0.314067,370.0394,784.6146,0.9,1.0,1.0,0.98
D,J,1,1,600.62,493.4131,623.95,512.5788,502.3273,0.821506,0.805076,512.5788,111.3712,0.9,1.0,1.0,0.98
E,E,1,1,865.5993,582.4006,966.4292,650.2418,650.2418,0.672829,0.672829,650.2418,316.1874,1.0,1.0,1.0,1.0
F,E,1,1,521.1261,350.6289,519.832,349.7582,342.763,0.672829,0.659373,349.7582,170.0738,0.9,1.0,1.0,0.98
G,G,1,1,953.9258,305.7107,1071.7304,343.4643,343.4643,0.320476,0.320476,343.4643,728.2661,1.0,1.0,1.0,1.0
H,J,1,1,627.1179,515.1813,657.6711,540.2809,540.2809,0.821506,0.821506,540.2809,117.3902,1.0,1.0,1.0,1.0
I,G,1,1,812.6035,260.4203,893.9698,286.4963,280.7663,0.320476,0.314067,286.4963,607.4736,0.9,1.0,1.0,0.98
J,J,1,1,724.277,594.9981,781.9606,642.3855,642.3855,0.821506,0.821506,642.3855,139.5751,1.0,1.0,1.0,1.0
