community,primary_station,overflow_station,geographic_reachable,actually_served,geographic_population_covered,served_population_covered,adjusted_demand_daily,raw_served_demand_daily,effective_person_times_daily,demand_service_ratio,service_access_performance,primary_load_daily,overflow_load_daily,unmet_load_daily,geographic_satisfaction,response_satisfaction,price_satisfaction,service_satisfaction
A,J,,1,1,786.1055,786.1055,866.4063,866.4063,745.1094,1.0,0.86,866.4063,0.0,0.0,0.9,0.6,1.0,0.86
B,J,,1,1,671.2811,671.2811,721.8406,721.8406,635.2197,1.0,0.88,721.8406,0.0,0.0,1.0,0.6,1.0,0.88
C,C,G,1,1,1015.7543,1015.7543,1154.654,1154.654,1003.7232,1.0,0.869285,1000.0,154.654,0.0,1.0,0.6,1.0,0.869285
D,J,,1,0,600.62,0.0,623.95,0.0,0.0,0.0,0.0,0.0,0.0,623.95,0.9,0.6,1.0,0.0
E,E,I,1,1,865.5993,865.5993,966.4292,966.4292,835.0326,1.0,0.864039,773.6155,192.8137,0.0,1.0,0.6,1.0,0.864039
F,E,,1,0,521.1261,0.0,519.832,0.0,0.0,0.0,0.0,0.0,0.0,519.832,0.9,0.6,1.0,0.0
G,G,E,1,1,953.9258,953.9258,1071.7304,1071.7304,925.012,1.0,0.863101,845.346,226.3845,0.0,1.0,0.6,1.0,0.863101
H,J,,1,1,627.1179,627.1179,657.6711,543.009,477.848,0.825654,0.726576,543.009,0.0,114.6621,1.0,0.6,1.0,0.88
I,I,J,1,1,812.6035,812.6035,893.9698,893.9698,779.7508,1.0,0.872234,807.1863,86.7835,0.0,1.0,0.6,1.0,0.872234
J,J,,1,1,724.277,724.277,781.9606,781.9606,688.1253,1.0,0.88,781.9606,0.0,0.0,1.0,0.6,1.0,0.88
