community,primary_station,geographic_reachable,actually_served,geographic_population_covered,served_population_covered,adjusted_demand_daily,raw_served_demand_daily,effective_person_times_daily,demand_service_ratio,service_access_performance,primary_load_daily,unmet_load_daily,geographic_satisfaction,response_satisfaction,price_satisfaction,service_satisfaction
A,B,1,1,786.1055,786.1055,866.4063,866.4063,823.086,1.0,0.95,866.4063,0.0,0.75,1.0,1.0,0.95
B,B,1,1,671.2811,671.2811,721.8406,721.8406,721.8406,1.0,1.0,721.8406,0.0,1.0,1.0,1.0,1.0
C,D,1,1,1015.7543,610.0178,1154.654,693.4349,637.9601,0.600556,0.552512,693.4349,461.2192,0.6,1.0,1.0,0.92
D,D,1,1,600.62,360.7062,623.95,374.7172,374.7172,0.600556,0.600556,374.7172,249.2328,1.0,1.0,1.0,1.0
E,F,1,1,865.5993,338.3902,966.4292,377.8078,370.2516,0.390932,0.383113,377.8078,588.6214,0.9,1.0,1.0,0.98
F,F,1,1,521.1261,203.7247,519.832,203.2188,203.2188,0.390932,0.390932,203.2188,316.6132,1.0,1.0,1.0,1.0
G,F,1,1,953.9258,372.9198,1071.7304,418.9734,410.5939,0.390932,0.383113,418.9734,652.757,0.9,1.0,1.0,0.98
H,D,1,1,627.1179,376.6197,657.6711,394.9686,394.9686,0.600556,0.600556,394.9686,262.7025,1.0,1.0,1.0,1.0
I,D,1,1,812.6035,488.0142,893.9698,536.8793,526.1417,0.600556,0.588545,536.8793,357.0905,0.9,1.0,1.0,0.98
J,B,1,1,724.277,724.277,781.9606,781.9606,781.9606,1.0,1.0,781.9606,0.0,1.0,1.0,1.0,1.0
