scheme_code,scheme_detail,station_count,build_cost_wan,geographic_population_coverage,served_population_coverage,weighted_served_population_coverage,served_demand_coverage,average_service_satisfaction,minimum_service_satisfaction,average_service_access_performance,minimum_service_access_performance,total_adjusted_demand_daily,total_raw_served_demand_daily,total_effective_person_times_daily,capacity_safety_rate,max_station_utilization,fully_safe,fully_served_community_count,total_unmet_daily_demand,utilization_variance,annual_revenue,annual_subsidy,annual_direct_cost,annual_fixed_cost,annual_depreciation,annual_total_cost,annual_net_profit_before_subsidy,annual_net_profit_after_policy_subsidy,annual_net_profit,profit_rate,profit_compliant
3010300000,A-大型;C-小型;E-大型,3,108.0,1.0,0.848741,0.848741,0.847617,0.85505,0.8,0.724755,0.449791,8258.4441,7000.0,5985.349,0.0,1.0,0,0,1258.4441,0.0,35766386.23,2263000.0,34053554.63,3942000.0,54000.0,38049554.63,-2283168.4,-20168.4,-20168.4,-0.00053,0
0002020300,D-中型;F-中型;H-大型,3,109.0,1.0,0.848555,0.848555,0.847617,0.851806,0.8,0.722006,0.598674,8258.4441,7000.0,5962.6445,0.0,1.0,0,0,1258.4441,0.0,35625848.47,2263000.0,34056069.48,3942000.0,54500.0,38052569.48,-2426721.01,-163721.01,-163721.01,-0.004302,0
0202300000,B-中型;D-中型;E-大型,3,109.0,1.0,0.848293,0.848293,0.847617,0.862091,0.83,0.730723,0.670681,8258.4441,7000.0,6034.6375,0.0,1.0,0,0,1258.4441,0.0,36061027.71,2263000.0,34058773.56,3942000.0,54500.0,38055273.56,-1994245.85,268754.15,268754.15,0.007062,1
0232000000,B-中型;C-大型;D-中型,3,109.0,1.0,0.848293,0.848293,0.847617,0.859577,0.8,0.728592,0.646439,8258.4441,7000.0,6017.0393,0.0,1.0,0,0,1258.4441,0.0,35958966.21,2263000.0,34058773.56,3942000.0,54500.0,38055273.56,-2096307.35,166692.65,166692.65,0.00438,0
0300020200,B-大型;F-中型;H-中型,3,109.0,1.0,0.848074,0.848074,0.847617,0.853079,0.8,0.723084,0.672403,8258.4441,7000.0,5971.5502,0.0,1.0,0,0,1258.4441,0.0,35683018.66,2263000.0,34059991.93,3942000.0,54500.0,38056491.93,-2373473.27,-110473.27,-110473.27,-0.002903,0
3000103000,A-大型;E-小型;G-大型,3,108.0,1.0,0.847986,0.847986,0.847617,0.855971,0.8,0.725536,0.578633,8258.4441,7000.0,5991.7968,0.0,1.0,0,0,1258.4441,0.0,35811006.52,2263000.0,34059390.91,3942000.0,54000.0,38055390.91,-2244384.39,18615.61,18615.61,0.000489,0
3030010000,A-大型;C-大型;F-小型,3,108.0,1.0,0.847986,0.847986,0.847617,0.85009,0.8,0.720551,0.578633,8258.4441,7000.0,5950.6305,0.0,1.0,0,0,1258.4441,0.0,35564809.94,2263000.0,34059390.91,3942000.0,54000.0,38055390.91,-2490580.97,-227580.97,-227580.97,-0.00598,0
0212200000,B-中型;C-小型;D-中型;E-中型,4,114.0,1.0,0.847981,0.847981,0.847617,0.868875,0.83,0.736473,0.672403,8258.4441,7000.0,6082.1219,0.0,1.0,0,0,1258.4441,0.0,36348895.15,2336000.0,34060569.32,4234000.0,57000.0,38351569.32,-2002674.17,333325.83,333325.83,0.008691,1
0001300300,D-小型;E-大型;H-大型,3,108.0,1.0,0.847947,0.847947,0.847617,0.856124,0.8,0.725666,0.566565,8258.4441,7000.0,5992.8708,0.0,1.0,0,0,1258.4441,0.0,35812637.1,2263000.0,34059443.06,3942000.0,54000.0,38055443.06,-2242805.96,20194.04,20194.04,0.000531,0
0031000300,C-大型;D-小型;H-大型,3,108.0,1.0,0.847947,0.847947,0.847617,0.85361,0.8,0.723535,0.566565,8258.4441,7000.0,5975.2726,0.0,1.0,0,0,1258.4441,0.0,35710575.61,2263000.0,34059443.06,3942000.0,54000.0,38055443.06,-2344867.45,-81867.45,-81867.45,-0.002151,0
