scheme_code,scheme_detail,build_cost_wan,served_population_coverage,minimum_service_access_performance,capacity_safety_rate,max_station_utilization,binding_capacity_risk,full_profit_compliance
3010300000,A-大型;C-小型;E-大型,108.0,0.848741,0.449791,0.0,1.0,1,0
0002020300,D-中型;F-中型;H-大型,109.0,0.848555,0.598674,0.0,1.0,1,0
0202300000,B-中型;D-中型;E-大型,109.0,0.848293,0.670681,0.0,1.0,1,1
0232000000,B-中型;C-大型;D-中型,109.0,0.848293,0.646439,0.0,1.0,1,0
0300020200,B-大型;F-中型;H-中型,109.0,0.848074,0.672403,0.0,1.0,1,0
3000103000,A-大型;E-小型;G-大型,108.0,0.847986,0.578633,0.0,1.0,1,0
3030010000,A-大型;C-大型;F-小型,108.0,0.847986,0.578633,0.0,1.0,1,0
0212200000,B-中型;C-小型;D-中型;E-中型,114.0,0.847981,0.672403,0.0,1.0,1,1
0001300300,D-小型;E-大型;H-大型,108.0,0.847947,0.566565,0.0,1.0,1,0
0031000300,C-大型;D-小型;H-大型,108.0,0.847947,0.566565,0.0,1.0,1,0
3010003000,A-大型;C-小型;G-大型,108.0,0.847882,0.610906,0.0,1.0,1,0
0203020000,B-中型;D-大型;F-中型,109.0,0.847673,0.672403,0.0,1.0,1,0
3010102000,A-大型;C-小型;E-小型;G-中型,113.0,0.847647,0.578633,0.0,1.0,1,0
0002020003,D-中型;F-中型;J-大型,109.0,0.847637,0.65674,0.0,1.0,1,0
0011200300,C-小型;D-小型;E-中型;H-大型,113.0,0.847634,0.566565,0.0,1.0,1,0
0000300103,E-大型;H-小型;J-大型,108.0,0.847411,0.670681,0.0,1.0,1,1
0001300003,D-小型;E-大型;J-大型,108.0,0.847411,0.670681,0.0,1.0,1,1
0030000103,C-大型;H-小型;J-大型,108.0,0.847411,0.646439,0.0,1.0,1,0
0031000003,C-大型;D-小型;J-大型,108.0,0.847411,0.646439,0.0,1.0,1,0
0010003003,C-小型;G-大型;J-大型,108.0,0.847269,0.706495,0.0,1.0,1,1
