scheme_label,scheme_code,scheme_detail,station_count,build_cost_wan,served_population_coverage,weighted_served_population_coverage,served_demand_coverage,average_service_access_performance,minimum_service_access_performance,capacity_safety_rate,max_station_utilization,annual_net_profit_after_policy_subsidy,profit_compliant
pareto_1,3010300000,A-大型;C-小型;E-大型,3,108.0,0.848741,0.848741,0.847617,0.724755,0.449791,0.0,1.0,-20168.4,0
pareto_2,0002020300,D-中型;F-中型;H-大型,3,109.0,0.848555,0.848555,0.847617,0.722006,0.598674,0.0,1.0,-163721.01,0
pareto_3,0202300000,B-中型;D-中型;E-大型,3,109.0,0.848293,0.848293,0.847617,0.730723,0.670681,0.0,1.0,268754.15,1
pareto_4,0300020200,B-大型;F-中型;H-中型,3,109.0,0.848074,0.848074,0.847617,0.723084,0.672403,0.0,1.0,-110473.27,0
pareto_5,3000103000,A-大型;E-小型;G-大型,3,108.0,0.847986,0.847986,0.847617,0.725536,0.578633,0.0,1.0,18615.61,0
pareto_6,3030010000,A-大型;C-大型;F-小型,3,108.0,0.847986,0.847986,0.847617,0.720551,0.578633,0.0,1.0,-227580.97,0
pareto_7,3010003000,A-大型;C-小型;G-大型,3,108.0,0.847882,0.847882,0.847617,0.726361,0.610906,0.0,1.0,60042.47,0
pareto_8,0000300103,E-大型;H-小型;J-大型,3,108.0,0.847411,0.847411,0.847617,0.733222,0.670681,0.0,1.0,393679.15,1
pareto_9,0001300003,D-小型;E-大型;J-大型,3,108.0,0.847411,0.847411,0.847617,0.733222,0.670681,0.0,1.0,393679.15,1
pareto_10,0010003003,C-小型;G-大型;J-大型,3,108.0,0.847269,0.847269,0.847617,0.737929,0.706495,0.0,1.0,628730.5,1
pareto_11,0212010000,B-中型;C-小型;D-中型;F-小型,4,100.0,0.730272,0.730272,0.726529,0.630189,0.386276,0.0,1.0,101475.73,0
pareto_12,0011010300,C-小型;D-小型;F-小型;H-大型,4,99.0,0.729926,0.729926,0.726529,0.625131,0.386276,0.0,1.0,-147084.37,0
pareto_13,0202200000,B-中型;D-中型;E-中型,3,96.0,0.729001,0.729001,0.726529,0.627087,0.447121,0.0,1.0,170238.19,0
pareto_14,3000102000,A-大型;E-小型;G-中型,3,95.0,0.728769,0.728769,0.726529,0.621312,0.44334,0.0,1.0,-109194.15,0
pareto_15,0001200300,D-小型;E-中型;H-大型,3,95.0,0.728654,0.728654,0.726529,0.622029,0.447121,0.0,1.0,-78321.92,0
pareto_16,0200020200,B-中型;F-中型;H-中型,3,96.0,0.728378,0.728378,0.726529,0.621188,0.453919,0.0,1.0,-121872.21,0
