iteration,max_satisfaction_delta,average_service_satisfaction,feasible_station_count,total_subsidy,damping_used
1,0.036,0.840966,1,2263000.0,0
2,0.075,0.910819,1,1898000.0,0
3,0.09517511,0.937627,0,938493.2,0
4,0.059237,0.955819,0,1898000.0,0
5,0.059237,0.937627,0,938493.2,0
6,0.0296185,0.955819,0,1898000.0,1
7,0.0296185,0.960966,0,2263000.0,0
8,0.09517511,0.910819,1,1898000.0,0
9,0.09517511,0.937627,0,938493.2,0
10,0.059237,0.955819,0,1898000.0,0
11,0.059237,0.937627,0,938493.2,0
12,0.0296185,0.955819,0,1898000.0,1
13,0.0296185,0.960966,0,2263000.0,0
14,0.09517511,0.910819,1,1898000.0,0
15,0.09517511,0.937627,0,938493.2,0
16,0.059237,0.955819,0,1898000.0,0
17,0.059237,0.937627,0,938493.2,0
18,0.0296185,0.955819,0,1898000.0,1
19,0.0296185,0.960966,0,2263000.0,0
20,0.09517511,0.910819,1,1898000.0,0
21,0.09517511,0.937627,0,938493.2,0
22,0.059237,0.955819,0,1898000.0,0
23,0.059237,0.937627,0,938493.2,0
24,0.0296185,0.955819,0,1898000.0,1
25,0.0296185,0.960966,0,2263000.0,0
26,0.09517511,0.910819,1,1898000.0,0
27,0.09517511,0.937627,0,938493.2,0
28,0.059237,0.955819,0,1898000.0,0
29,0.059237,0.937627,0,938493.2,0
30,0.0296185,0.955819,0,1898000.0,1
