community,primary_station,primary_load_daily,unmet_load_daily,raw_served_demand_daily,effective_person_times_daily,adjusted_demand_daily,demand_service_ratio,service_satisfaction,service_access_performance,served,price_satisfaction,distance_satisfaction,response_satisfaction
A,A,715.0647079323185,147.7722904168279,715.0647,665.7679,862.837,0.828737,0.93106,0.771603,1,0.952119,1.0,0.85
B,A,592.025166788147,122.34545197127738,592.0252,521.6272,714.3706,0.828737,0.88109,0.730191,1,0.952179,0.75,0.85
C,C,1000.0,146.2396775798445,1000.0,875.8831,1146.2397,0.872418,0.875883,0.764136,1,0.991766,1.0,0.6
D,A,511.9503827346794,105.79753104475088,511.9504,435.6269,617.7479,0.828737,0.850916,0.705186,1,0.951832,0.6,0.85
E,E,839.8956907368795,126.53349444675177,839.8957,739.1082,966.4292,0.869071,0.88,0.764783,1,1.0,1.0,0.6
F,E,451.77097874130834,68.06102383929863,451.771,388.523,519.832,0.869071,0.86,0.747401,1,1.0,0.9,0.6
G,E,931.409958687936,140.3204685237639,931.41,801.0126,1071.7304,0.869071,0.86,0.747401,1,1.0,0.9,0.6
H,A,539.5828435048525,111.50794014838141,539.5828,459.0985,651.0908,0.828737,0.85084,0.705122,1,0.951679,0.6,0.85
I,E,776.9233718338762,117.046474032084,776.9234,668.1541,893.9698,0.869071,0.86,0.747401,1,1.0,0.9,0.6
J,A,641.376899040003,132.54427514069755,641.3769,584.2553,773.9212,0.828737,0.910939,0.754929,1,0.951878,0.9,0.85
