iteration,max_satisfaction_delta,average_service_satisfaction,feasible_station_count,total_subsidy,damping_used
1,0.036,0.845962,2,2263000.0,0
2,0.075,0.880374,2,2263000.0,0
3,0.075,0.845962,2,2263000.0,0
4,0.0375,0.880374,2,2263000.0,1
5,0.0092261,0.860874,3,2263000.0,0
6,0.036,0.845962,2,2263000.0,0
7,0.075,0.880374,2,2263000.0,0
8,0.075,0.845962,2,2263000.0,0
9,0.0375,0.880374,2,2263000.0,1
10,0.0092261,0.860874,3,2263000.0,0
11,0.036,0.845962,2,2263000.0,0
12,0.075,0.880374,2,2263000.0,0
13,0.075,0.845962,2,2263000.0,0
14,0.0375,0.880374,2,2263000.0,1
15,0.0092261,0.860874,3,2263000.0,0
16,0.036,0.845962,2,2263000.0,0
17,0.075,0.880374,2,2263000.0,0
18,0.075,0.845962,2,2263000.0,0
19,0.0375,0.880374,2,2263000.0,1
20,0.0092261,0.860874,3,2263000.0,0
21,0.036,0.845962,2,2263000.0,0
22,0.075,0.880374,2,2263000.0,0
23,0.075,0.845962,2,2263000.0,0
24,0.0375,0.880374,2,2263000.0,1
25,0.0092261,0.860874,3,2263000.0,0
26,0.036,0.845962,2,2263000.0,0
27,0.075,0.880374,2,2263000.0,0
28,0.075,0.845962,2,2263000.0,0
29,0.0375,0.880374,2,2263000.0,1
30,0.0092261,0.860874,3,2263000.0,0
