community,primary_station,primary_load_daily,unmet_load_daily,raw_served_demand_daily,effective_person_times_daily,adjusted_demand_daily,demand_service_ratio,service_satisfaction,service_access_performance,served,price_satisfaction,distance_satisfaction,response_satisfaction
A,A,716.3461865973861,144.28517904816044,716.3462,673.0612,860.6314,0.83235,0.939575,0.782055,1,0.969151,1.0,0.85
B,A,591.6185675987122,119.16276313225217,591.6186,526.3045,710.7813,0.83235,0.889601,0.740459,1,0.969202,0.75,0.85
C,C,1000.0,146.2396775798445,1000.0,875.8831,1146.2397,0.872418,0.875883,0.764136,1,0.991766,1.0,0.6
D,A,511.70513313564174,103.06674082406323,511.7051,439.8487,614.7719,0.83235,0.859575,0.715467,1,0.969149,0.6,0.85
E,E,839.8956907368795,126.53349444675177,839.8957,739.1082,966.4292,0.869071,0.88,0.764783,1,1.0,1.0,0.6
F,E,451.77097874130834,68.06102383929863,451.771,388.523,519.832,0.869071,0.86,0.747401,1,1.0,0.9,0.6
G,E,931.409958687936,140.3204685237639,931.41,801.0126,1071.7304,0.869071,0.86,0.747401,1,1.0,0.9,0.6
H,A,539.334951506289,108.63188986130888,539.335,463.5842,647.9668,0.83235,0.859548,0.715444,1,0.969096,0.6,0.85
I,E,776.9233718338762,117.046474032084,776.9234,668.1541,893.9698,0.869071,0.86,0.747401,1,1.0,0.9,0.6
J,A,640.9951611619709,129.10810907860696,640.9952,589.4322,770.1033,0.83235,0.919558,0.765394,1,0.969116,0.9,0.85
