price_scheme_detail,pricing_model,pricing_formula,subsidy_policy,pareto_rank,iteration_count,iterations,converged,damping_used,profit_compliant,satisfaction_compliant,fair_satisfaction_compliant,feasible_station_count,average_service_satisfaction,minimum_service_satisfaction,average_service_access_performance,minimum_service_access_performance,vulnerable_service_satisfaction,low_income_service_satisfaction,low_income_served_coverage,served_population_coverage,weighted_served_population_coverage,served_demand_coverage,gini_access,theil_access,max_min_gap,annual_government_subsidy,annual_service_revenue,annual_direct_cost,annual_fixed_cost,annual_depreciation,annual_total_cost,annual_net_profit_before_subsidy,annual_net_profit_after_subsidy,annual_net_profit,profit_rate,financial_gap_to_break_even
"A:助餐=10.00,日间照料=22.00,上门护理=30.00,康复理疗=28.00,助浴=25.00;C:助餐=10.00,日间照料=20.00,上门护理=33.00,康复理疗=28.00,助浴=25.00;E:助餐=10.00,日间照料=20.00,上门护理=30.00,康复理疗=28.00,助浴=25.00",station_service_level_pricing,"p_{j,r} independent for r=1,...,5; p_{j,6}=0",none,1,30,30,0,1,1,1,1,3,0.860874,0.820548,0.737329,0.682983,0.863224,0.84733,0.838435,0.852999,0.852999,0.853403,0.03973,0.000732,0.0818,2263000.0,36774957.84,34034110.7,3942000.0,54000.0,38030110.7,-1255152.86,1007847.14,1007847.14,0.026501,0.0
"A:助餐=10.00,日间照料=22.00,上门护理=30.00,康复理疗=28.00,助浴=25.00;C:助餐=10.00,日间照料=20.00,上门护理=30.00,康复理疗=30.80,助浴=25.00;E:助餐=10.00,日间照料=20.00,上门护理=30.00,康复理疗=28.00,助浴=25.00",station_service_level_pricing,"p_{j,r} independent for r=1,...,5; p_{j,6}=0",none,1,30,30,0,1,1,1,1,3,0.860856,0.820548,0.73691,0.682983,0.863201,0.84733,0.838435,0.85255,0.85255,0.852943,0.039034,0.000713,0.0818,2263000.0,36775473.46,34037268.24,3942000.0,54000.0,38033268.24,-1257794.79,1005205.21,1005205.21,0.02643,0.0
"A:助餐=10.00,日间照料=22.00,上门护理=30.00,康复理疗=28.00,助浴=27.50;C:助餐=10.00,日间照料=20.00,上门护理=30.00,康复理疗=30.80,助浴=25.00;E:助餐=10.00,日间照料=20.00,上门护理=30.00,康复理疗=28.00,助浴=25.00",station_service_level_pricing,"p_{j,r} independent for r=1,...,5; p_{j,6}=0",none,1,30,30,0,1,1,1,1,3,0.860222,0.819317,0.737505,0.684197,0.86263,0.846279,0.840715,0.853779,0.853779,0.85417,0.038395,0.00069,0.080586,2263000.0,36804047.38,34030908.42,3942000.0,54000.0,38026908.42,-1222861.05,1040138.95,1040138.95,0.027353,0.0
"A:助餐=10.00,日间照料=22.00,上门护理=30.00,康复理疗=28.00,助浴=25.00;C:助餐=10.00,日间照料=22.00,上门护理=30.00,康复理疗=28.00,助浴=25.00;E:助餐=10.00,日间照料=20.00,上门护理=30.00,康复理疗=28.00,助浴=25.00",station_service_level_pricing,"p_{j,r} independent for r=1,...,5; p_{j,6}=0",none,1,30,30,0,1,1,1,1,3,0.859747,0.820548,0.735955,0.682983,0.861715,0.84733,0.838435,0.852999,0.852999,0.853403,0.037515,0.000677,0.0818,2263000.0,36822517.46,34034110.7,3942000.0,54000.0,38030110.7,-1207593.23,1055406.77,1055406.77,0.027752,0.0
"A:助餐=10.00,日间照料=22.00,上门护理=30.00,康复理疗=28.00,助浴=25.00;C:助餐=10.00,日间照料=20.00,上门护理=30.00,康复理疗=30.80,助浴=25.00;E:助餐=10.00,日间照料=20.00,上门护理=33.00,康复理疗=28.00,助浴=25.00",station_service_level_pricing,"p_{j,r} independent for r=1,...,5; p_{j,6}=0",none,1,30,30,0,1,1,1,1,3,0.859306,0.820548,0.738205,0.682983,0.861567,0.846753,0.839712,0.855755,0.855755,0.856107,0.040037,0.000753,0.085043,2263000.0,36905012.61,34017832.16,3942000.0,54000.0,38013832.16,-1108819.55,1154180.45,1154180.45,0.030362,0.0
"A:助餐=10.00,日间照料=22.00,上门护理=30.00,康复理疗=28.00,助浴=25.00;C:助餐=10.00,日间照料=20.00,上门护理=30.00,康复理疗=30.80,助浴=25.00;E:助餐=10.00,日间照料=20.00,上门护理=30.00,康复理疗=30.80,助浴=25.00",station_service_level_pricing,"p_{j,r} independent for r=1,...,5; p_{j,6}=0",none,1,30,30,0,1,1,1,1,3,0.859148,0.820548,0.736708,0.682983,0.861422,0.846627,0.83907,0.854142,0.854142,0.854518,0.038945,0.000708,0.081429,2263000.0,36913657.74,34027853.93,3942000.0,54000.0,38023853.93,-1110196.19,1152803.81,1152803.81,0.030318,0.0
"A:助餐=10.00,日间照料=22.00,上门护理=30.00,康复理疗=28.00,助浴=25.00;C:助餐=11.00,日间照料=20.00,上门护理=30.00,康复理疗=28.00,助浴=25.00;E:助餐=10.00,日间照料=20.00,上门护理=30.00,康复理疗=28.00,助浴=25.00",station_service_level_pricing,"p_{j,r} independent for r=1,...,5; p_{j,6}=0",none,1,30,30,0,1,1,1,1,3,0.858913,0.820548,0.734651,0.682983,0.860598,0.84733,0.838435,0.852672,0.852672,0.853069,0.036295,0.000644,0.0818,2263000.0,36729095.55,34036405.76,3942000.0,54000.0,38032405.76,-1303310.21,959689.79,959689.79,0.025233,0.0
"A:助餐=10.00,日间照料=22.00,上门护理=30.00,康复理疗=30.80,助浴=25.00;C:助餐=10.00,日间照料=20.00,上门护理=30.00,康复理疗=30.80,助浴=25.00;E:助餐=10.00,日间照料=20.00,上门护理=30.00,康复理疗=28.00,助浴=25.00",station_service_level_pricing,"p_{j,r} independent for r=1,...,5; p_{j,6}=0",none,1,30,30,0,1,1,1,1,3,0.858724,0.81629,0.73739,0.683748,0.861282,0.843773,0.84284,0.854924,0.854924,0.85531,0.03862,0.000698,0.081035,2263000.0,36905990.52,34025622.92,3942000.0,54000.0,38021622.92,-1115632.4,1147367.6,1147367.6,0.030177,0.0
"A:助餐=11.00,日间照料=20.00,上门护理=30.00,康复理疗=28.00,助浴=25.00;C:助餐=10.00,日间照料=20.00,上门护理=33.00,康复理疗=28.00,助浴=25.00;E:助餐=10.00,日间照料=20.00,上门护理=30.00,康复理疗=28.00,助浴=25.00",station_service_level_pricing,"p_{j,r} independent for r=1,...,5; p_{j,6}=0",none,2,30,30,0,1,1,1,1,3,0.856573,0.81184,0.732774,0.672801,0.859357,0.840137,0.835421,0.851374,0.851374,0.851771,0.046497,0.000962,0.091981,2263000.0,36498196.12,34042756.88,3942000.0,54000.0,38038756.88,-1540560.76,722439.24,722439.24,0.018992,0.0
"A:助餐=11.00,日间照料=20.00,上门护理=30.00,康复理疗=28.00,助浴=25.00;C:助餐=10.00,日间照料=20.00,上门护理=30.00,康复理疗=30.80,助浴=25.00;E:助餐=10.00,日间照料=20.00,上门护理=30.00,康复理疗=28.00,助浴=25.00",station_service_level_pricing,"p_{j,r} independent for r=1,...,5; p_{j,6}=0",none,2,30,30,0,1,1,1,1,3,0.856555,0.81184,0.732358,0.672801,0.859334,0.840137,0.835421,0.850924,0.850924,0.851313,0.045801,0.000939,0.091981,2263000.0,36498711.74,34045914.43,3942000.0,54000.0,38041914.43,-1543202.69,719797.31,719797.31,0.018921,0.0
