community,primary_station,overflow_station,primary_load_daily,overflow_load_daily,unmet_load_daily,raw_served_demand_daily,effective_person_times_daily,service_satisfaction,served,price_satisfaction
A,J,A,0.0,847.3467687019868,19.059515114999954,847.3468,576.1369,0.664973,1,1.0
B,J,I,298.410500955106,0.0,423.430098802274,298.4105,262.6012,0.363794,1,1.0
C,I,C,0.0,1129.7835880739515,24.87045668166661,1129.7836,818.9621,0.709271,1,1.0
D,J,I,0.0,0.0,623.9500068068667,0.0,0.0,0.0,0,0.0
E,I,J,106.03015413403973,0.0,860.3990310495915,106.0302,91.1859,0.094353,1,1.0
F,F,I,466.4736249389285,0.0,0.0,466.4736,375.697,0.805398,1,0.610796
G,I,J,0.0,0.0,1071.7304272116999,0.0,0.0,0.0,0,0.0
H,J,I,269.11427377004725,0.0,388.5568259481811,269.1143,236.8206,0.36009,1,1.0
I,I,J,893.9698458659602,0.0,0.0,893.9698,786.6935,0.88,1,1.0
J,J,I,432.4752252748468,0.0,349.4853377038355,432.4752,380.5782,0.486697,1,1.0
