iteration,max_satisfaction_delta,average_service_satisfaction,feasible_station_count,total_subsidy,damping_used
1,0.075,0.843397,1,2263000.0,0
2,0.075,0.876073,3,2263000.0,0
3,0.075,0.843397,1,2263000.0,0
4,0.0375,0.876073,3,2263000.0,1
5,0.01358016,0.856573,3,2263000.0,0
6,0.036,0.843397,1,2263000.0,0
7,0.075,0.876073,3,2263000.0,0
8,0.075,0.843397,1,2263000.0,0
9,0.0375,0.876073,3,2263000.0,1
10,0.00679008,0.856573,3,2263000.0,1
11,0.00679008,0.856573,3,2263000.0,0
12,0.036,0.843397,1,2263000.0,0
13,0.075,0.876073,3,2263000.0,0
14,0.075,0.843397,1,2263000.0,0
15,0.0375,0.876073,3,2263000.0,1
16,0.01358016,0.856573,3,2263000.0,0
17,0.036,0.843397,1,2263000.0,0
18,0.075,0.876073,3,2263000.0,0
19,0.075,0.843397,1,2263000.0,0
20,0.0,0.876073,3,2263000.0,1
