iteration,max_satisfaction_delta,average_service_satisfaction,feasible_station_count,total_subsidy,damping_used
1,0.9022044,0.848776,2,1355135.01,0
2,0.86,0.877428,0,1460000.0,0
3,0.2,0.818507,2,1952695.85,0
4,0.2,0.877428,0,1460000.0,0
5,0.1,0.818507,2,1952695.85,1
6,0.1,0.877428,0,1460000.0,1
7,0.2,0.818507,2,1952695.85,1
8,0.2,0.877428,0,1460000.0,1
9,0.1,0.818507,2,1952695.85,1
10,0.1,0.877428,0,1460000.0,1
11,0.2,0.818507,2,1952695.85,1
12,0.2,0.877428,0,1460000.0,1
13,0.1,0.818507,2,1952695.85,1
14,0.1,0.877428,0,1460000.0,1
15,0.2,0.818507,2,1952695.85,1
16,0.2,0.877428,0,1460000.0,1
17,0.1,0.818507,2,1952695.85,1
18,0.1,0.877428,0,1460000.0,1
19,0.2,0.818507,2,1952695.85,1
20,0.2,0.877428,0,1460000.0,1
21,0.1,0.818507,2,1952695.85,1
22,0.1,0.877428,0,1460000.0,1
23,0.2,0.818507,2,1952695.85,1
24,0.2,0.877428,0,1460000.0,1
25,0.1,0.818507,2,1952695.85,1
26,0.1,0.877428,0,1460000.0,1
27,0.2,0.818507,2,1952695.85,1
28,0.2,0.877428,0,1460000.0,1
29,0.1,0.818507,2,1952695.85,1
30,0.1,0.877428,0,1460000.0,1
