community,primary_station,overflow_station,primary_load_daily,overflow_load_daily,unmet_load_daily,raw_served_demand_daily,effective_person_times_daily,adjusted_demand_daily,demand_service_ratio,service_satisfaction,service_access_performance,served,price_satisfaction
A,J,A,0.0,847.3467687019868,19.059515114999954,847.3468,576.1369,866.4063,0.978002,0.67993,0.664973,1,1.0
B,J,I,298.410500955106,0.0,423.430098802274,298.4105,262.6012,721.8406,0.413402,0.88,0.363794,1,1.0
C,I,C,0.0,1129.7835880739515,24.87045668166661,1129.7836,818.9621,1154.654,0.978461,0.724884,0.709271,1,1.0
D,J,I,0.0,0.0,623.9500068068667,0.0,0.0,623.95,0.0,0.0,0.0,0,0.0
E,I,J,106.03015413403973,0.0,860.3990310495915,106.0302,91.1859,966.4292,0.109713,0.86,0.094353,1,1.0
F,F,I,466.4736249389285,0.0,0.0,466.4736,375.697,466.4736,1.0,0.805398,0.805398,1,0.610796
G,I,J,0.0,0.0,1071.7304272116999,0.0,0.0,1071.7304,0.0,0.0,0.0,0,0.0
H,J,I,269.11427377004725,0.0,388.5568259481811,269.1143,236.8206,657.6711,0.409193,0.88,0.36009,1,1.0
I,I,J,893.9698458659602,0.0,0.0,893.9698,786.6935,893.9698,1.0,0.88,0.88,1,1.0
J,J,I,432.4752252748468,0.0,349.4853377038355,432.4752,380.5782,781.9606,0.553065,0.88,0.486697,1,1.0
