iteration,max_satisfaction_delta,average_service_satisfaction,feasible_station_count,total_subsidy,damping_used
1,0.88143903,0.842746,4,1844255.43,0
2,0.86,0.841881,5,2409000.0,0
3,0.86,0.859434,4,1901486.15,0
4,0.86,0.841881,5,2409000.0,0
5,0.43,0.859434,4,1901486.15,1
6,0.43,0.841881,5,2409000.0,0
7,0.86,0.859434,4,1901486.15,0
8,0.86,0.841881,5,2409000.0,0
9,0.43,0.859434,4,1901486.15,1
10,0.43,0.841881,5,2409000.0,0
11,0.86,0.859434,4,1901486.15,0
12,0.86,0.841881,5,2409000.0,0
13,0.43,0.859434,4,1901486.15,1
14,0.43,0.841881,5,2409000.0,0
15,0.86,0.859434,4,1901486.15,0
16,0.86,0.841881,5,2409000.0,0
17,0.43,0.859434,4,1901486.15,1
18,0.43,0.841881,5,2409000.0,0
19,0.86,0.859434,4,1901486.15,0
20,0.86,0.841881,5,2409000.0,0
21,0.43,0.859434,4,1901486.15,1
22,0.43,0.841881,5,2409000.0,0
23,0.86,0.859434,4,1901486.15,0
24,0.86,0.841881,5,2409000.0,0
25,0.43,0.859434,4,1901486.15,1
26,0.43,0.841881,5,2409000.0,0
27,0.86,0.859434,4,1901486.15,0
28,0.86,0.841881,5,2409000.0,0
29,0.43,0.859434,4,1901486.15,1
30,0.43,0.841881,5,2409000.0,0
