price_scheme_detail,pricing_model,pricing_formula,subsidy_policy,pareto_rank,iteration_count,iterations,converged,damping_used,profit_compliant,fair_satisfaction_compliant,feasible_station_count,average_service_satisfaction,minimum_service_satisfaction,average_service_access_performance,minimum_service_access_performance,vulnerable_service_satisfaction,low_income_service_satisfaction,low_income_served_coverage,weighted_served_population_coverage,served_demand_coverage,gini_access,theil_access,max_min_gap,annual_government_subsidy,annual_service_revenue,annual_direct_cost,annual_fixed_cost,annual_depreciation,annual_total_cost,annual_net_profit_before_subsidy,annual_net_profit_after_subsidy,annual_net_profit,profit_rate,financial_gap_to_break_even
C:alpha=1.0;E:alpha=1.0;G:alpha=1.0;I:alpha=1.0;J:alpha=2.0,station_level_uniform_premium,"p_{j,r}=alpha_j*p_r^0,r=1,...,5; p_{j,6}=0",targeted_subsidy_0.0,1,3,3,1,0,0,0,4,0.845347,0.726779,0.62573,0.0,0.771621,0.64456,0.808989,0.745515,0.740205,0.501866,0.208067,0.88,2409000.0,36547700.39,27399609.39,4526000.0,58500.0,31984109.39,4563591.01,6972591.01,6972591.01,0.218002,0.0
C:alpha=1.0;E:alpha=1.0;G:alpha=1.0;I:alpha=1.0;J:alpha=1.8,station_level_uniform_premium,"p_{j,r}=alpha_j*p_r^0,r=1,...,5; p_{j,6}=0",targeted_subsidy_0.0,1,30,30,0,1,0,0,4,0.844383,0.726122,0.627698,0.0,0.771467,0.644287,0.808989,0.745515,0.743381,0.502016,0.208068,0.88,2409000.0,35773466.07,27868615.41,4526000.0,58500.0,32453115.41,3320350.66,5729350.66,5729350.66,0.176542,0.0
C:alpha=1.0;E:alpha=1.0;G:alpha=1.0;I:alpha=1.0;J:alpha=1.6,station_level_uniform_premium,"p_{j,r}=alpha_j*p_r^0,r=1,...,5; p_{j,6}=0",targeted_subsidy_0.0,1,30,30,0,1,0,0,4,0.843731,0.725638,0.62902,0.0,0.771369,0.644109,0.808989,0.745515,0.745522,0.502123,0.208071,0.88,2409000.0,34629530.67,28218887.94,4526000.0,58500.0,32803387.94,1826142.73,4235142.73,4235142.73,0.129107,0.0
C:alpha=1.0;E:alpha=1.0;G:alpha=1.0;I:alpha=1.0;J:alpha=1.5,station_level_uniform_premium,"p_{j,r}=alpha_j*p_r^0,r=1,...,5; p_{j,6}=0",targeted_subsidy_0.0,1,30,30,0,1,0,0,4,0.843414,0.725506,0.629671,0.0,0.771331,0.644052,0.808989,0.745515,0.746575,0.502157,0.208071,0.88,2409000.0,34014402.19,28399536.53,4526000.0,58500.0,32984036.53,1030365.67,3439365.67,3439365.67,0.104274,0.0
C:alpha=1.0;E:alpha=1.0;G:alpha=1.0;I:alpha=1.0;J:alpha=1.4,station_level_uniform_premium,"p_{j,r}=alpha_j*p_r^0,r=1,...,5; p_{j,6}=0",targeted_subsidy_0.0,1,30,30,0,1,0,0,4,0.843056,0.725362,0.63041,0.0,0.77129,0.643991,0.808989,0.745515,0.747767,0.502195,0.208071,0.88,2409000.0,33399299.15,28605992.05,4526000.0,58500.0,33190492.05,208807.1,2617807.1,2617807.1,0.078872,0.0
C:alpha=1.0;E:alpha=1.0;G:alpha=1.0;I:alpha=1.0;J:alpha=1.3,station_level_uniform_premium,"p_{j,r}=alpha_j*p_r^0,r=1,...,5; p_{j,6}=0",targeted_subsidy_0.0,1,30,30,0,1,0,0,4,0.842649,0.725206,0.631253,0.0,0.771246,0.643923,0.808989,0.745515,0.74913,0.502236,0.208071,0.88,2409000.0,32784225.1,28844209.96,4526000.0,58500.0,33428709.96,-644484.86,1764515.14,1764515.14,0.052784,0.0
C:alpha=1.0;E:alpha=1.0;G:alpha=1.0;I:alpha=1.0;J:alpha=2.0,station_level_uniform_premium,"p_{j,r}=alpha_j*p_r^0,r=1,...,5; p_{j,6}=0",targeted_subsidy_1.0,1,30,30,0,1,0,0,4,0.845061,0.726667,0.621032,0.0,0.771595,0.644513,0.808989,0.74177,0.734896,0.507473,0.214226,0.88,2409000.0,36847046.79,27562241.35,4526000.0,58500.0,32146741.35,4700305.44,7109305.44,7109305.44,0.221152,0.0
C:alpha=1.0;E:alpha=1.0;G:alpha=1.0;I:alpha=1.0;J:alpha=2.0,station_level_uniform_premium,"p_{j,r}=alpha_j*p_r^0,r=1,...,5; p_{j,6}=0",targeted_subsidy_2.0,1,30,30,0,1,0,0,4,0.844756,0.726555,0.616661,0.0,0.771569,0.644467,0.808989,0.738098,0.729987,0.512938,0.220888,0.88,2409000.0,37164832.25,27735132.75,4526000.0,58500.0,32319632.75,4845199.5,7254199.5,7254199.5,0.224452,0.0
C:alpha=1.0;E:alpha=1.0;G:alpha=1.0;I:alpha=1.0;J:alpha=1.1,station_level_uniform_premium,"p_{j,r}=alpha_j*p_r^0,r=1,...,5; p_{j,6}=0",targeted_subsidy_0.0,1,30,30,0,1,0,0,2,0.875947,0.78,0.756593,0.050372,0.868979,0.859916,1.0,0.860124,0.863743,0.269215,0.075914,0.831112,2409000.0,38800167.46,34624680.66,4526000.0,58500.0,39209180.66,-409013.2,1999986.8,1999986.8,0.051008,0.0
C:alpha=1.0;E:alpha=1.0;G:alpha=1.0;I:alpha=1.0;J:alpha=1.1,station_level_uniform_premium,"p_{j,r}=alpha_j*p_r^0,r=1,...,5; p_{j,6}=0",targeted_subsidy_1.0,1,30,30,0,1,0,0,2,0.876232,0.78,0.747534,0.03877,0.869034,0.860267,1.0,0.849857,0.853124,0.289993,0.087227,0.842669,2409000.0,38809290.4,34611431.82,4526000.0,58500.0,39195931.82,-386641.42,2022358.58,2022358.58,0.051596,0.0
