price_scheme_detail,iteration_count,converged,profit_compliant,fair_satisfaction_compliant,feasible_station_count,average_service_satisfaction,minimum_service_satisfaction,vulnerable_service_satisfaction,low_income_service_satisfaction,low_income_served_coverage,annual_government_subsidy,annual_service_revenue,annual_direct_cost,annual_fixed_cost,annual_depreciation,annual_net_profit_before_subsidy,annual_net_profit_after_subsidy,annual_net_profit
A:助餐13.0/日照26.0;C:助餐14.0/日照28.0;F:助餐13.0/日照26.0;I:助餐10.0/日照20.0;J:助餐10.0/日照20.0,3,1,1,0,5,0.545572,0.094353,0.431414,0.395063,0.808989,1959698.67,25877915.05,22422705.3,4526000.0,58500.0,-1129290.25,830408.42,830408.42
A:助餐13.0/日照26.0;C:助餐10.0/日照20.0;F:助餐13.0/日照26.0;I:助餐10.0/日照20.0;J:助餐11.0/日照22.0,30,0,0,0,4,0.672496,0.116612,0.630227,0.427779,0.808989,2310856.3,33219210.79,30711531.91,4526000.0,58500.0,-2076821.12,234035.18,234035.18
A:助餐13.0/日照26.0;C:助餐10.0/日照20.0;F:助餐13.0/日照26.0;I:助餐10.0/日照20.0;J:助餐10.0/日照20.0,3,1,0,0,4,0.659049,0.240308,0.622538,0.394965,0.808989,2310856.3,32969005.13,30983879.24,4526000.0,58500.0,-2599374.11,-288517.81,-288517.81
A:助餐10.0/日照20.0;C:助餐13.0/日照26.0;F:助餐10.0/日照20.0;I:助餐13.0/日照26.0;J:助餐10.0/日照20.0,30,0,0,0,4,0.563712,0.247663,0.512264,0.428738,0.808989,2064409.32,29126893.26,25673883.07,4526000.0,58500.0,-1131489.8,932919.51,932919.51
A:助餐13.0/日照26.0;C:助餐14.0/日照28.0;F:助餐10.0/日照20.0;I:助餐10.0/日照20.0;J:助餐10.0/日照20.0,3,1,0,0,4,0.53157,0.144668,0.480604,0.406943,0.808989,2057842.37,28017280.46,25172766.12,4526000.0,58500.0,-1739985.66,317856.7,317856.7
A:助餐11.0/日照22.0;C:助餐14.0/日照28.0;F:助餐13.0/日照26.0;I:助餐10.0/日照20.0;J:助餐10.0/日照20.0,30,0,0,0,4,0.575429,0.085083,0.454957,0.427896,0.808989,1959698.67,26226468.31,23010133.06,4526000.0,58500.0,-1368164.76,591533.91,591533.91
A:助餐13.0/日照26.0;C:助餐14.0/日照28.0;F:助餐20.0/日照40.0;I:助餐10.0/日照20.0;J:助餐10.0/日照20.0,3,1,0,0,4,0.54583,0.094353,0.431554,0.395405,0.808989,1884384.1,26146832.38,21793431.37,4526000.0,58500.0,-231098.99,1653285.11,1653285.11
A:助餐20.0/日照40.0;C:助餐14.0/日照28.0;F:助餐13.0/日照26.0;I:助餐10.0/日照20.0;J:助餐10.0/日照20.0,3,1,0,0,4,0.545702,0.094353,0.43152,0.395063,0.808989,1959698.67,28355373.82,22422705.3,4526000.0,58500.0,1348168.52,3307867.19,3307867.19
A:助餐13.0/日照26.0;C:助餐20.0/日照40.0;F:助餐13.0/日照26.0;I:助餐10.0/日照20.0;J:助餐10.0/日照20.0,3,1,0,0,4,0.545665,0.094353,0.431514,0.395063,0.808989,1960328.69,28910414.11,22422705.3,4526000.0,58500.0,1903208.81,3863537.51,3863537.51
A:助餐13.0/日照26.0;C:助餐14.0/日照28.0;F:助餐18.0/日照36.0;I:助餐10.0/日照20.0;J:助餐10.0/日照20.0,3,1,0,0,4,0.54574,0.094353,0.431505,0.395285,0.808989,1905476.51,26144067.01,21964607.01,4526000.0,58500.0,-405040.0,1500436.51,1500436.51
