scenario,candidate_id,price_scheme_detail,subsidy_policy,lambda,baseline_converged_lambda_1_no_damping,converged,iterations,max_abs_delta,average_service_access_performance,minimum_service_access_performance,annual_net_profit,profit_rate,profit_compliant,aggregate_profit_rate_compliant,station_profit_compliant,feasible_station_count,joint_feasible_solution_exists
S0_baseline,S0_baseline_P001_SB0.0,C:alpha=1.0;E:alpha=1.0;G:alpha=1.0;I:alpha=1.0;J:alpha=1.0,targeted_subsidy_0.0,0.2,1,1,3,0.92285718,0.742182,0.050372,307768.89,0.007862,0,1,0,2,0
S0_baseline,S0_baseline_P001_SB0.0,C:alpha=1.0;E:alpha=1.0;G:alpha=1.0;I:alpha=1.0;J:alpha=1.0,targeted_subsidy_0.0,0.3,1,1,3,0.92285718,0.742182,0.050372,307768.89,0.007862,0,1,0,2,0
S0_baseline,S0_baseline_P001_SB0.0,C:alpha=1.0;E:alpha=1.0;G:alpha=1.0;I:alpha=1.0;J:alpha=1.0,targeted_subsidy_0.0,0.5,1,1,3,0.92285718,0.742182,0.050372,307768.89,0.007862,0,1,0,2,0
S0_baseline,S0_baseline_P001_SB0.0,C:alpha=1.0;E:alpha=1.0;G:alpha=1.0;I:alpha=1.0;J:alpha=1.0,targeted_subsidy_0.0,0.7,1,1,3,0.92285718,0.742182,0.050372,307768.89,0.007862,0,1,0,2,0
S0_baseline,S0_baseline_P001_SB0.0,C:alpha=1.0;E:alpha=1.0;G:alpha=1.0;I:alpha=1.0;J:alpha=1.0,targeted_subsidy_0.0,1.0,1,1,3,0.92285718,0.742182,0.050372,307768.89,0.007862,0,1,0,2,0
S0_baseline,S0_baseline_P002_SB0.0,C:alpha=1.1;E:alpha=1.0;G:alpha=1.0;I:alpha=1.0;J:alpha=1.0,targeted_subsidy_0.0,0.2,0,0,30,0.9022044,0.635624,0.0,-420767.08,-0.012279,0,0,0,2,0
S0_baseline,S0_baseline_P002_SB0.0,C:alpha=1.1;E:alpha=1.0;G:alpha=1.0;I:alpha=1.0;J:alpha=1.0,targeted_subsidy_0.0,0.3,0,0,30,0.9022044,0.635624,0.0,-420767.08,-0.012279,0,0,0,2,0
S0_baseline,S0_baseline_P002_SB0.0,C:alpha=1.1;E:alpha=1.0;G:alpha=1.0;I:alpha=1.0;J:alpha=1.0,targeted_subsidy_0.0,0.5,0,0,30,0.9022044,0.743372,0.392748,671154.7,0.017336,0,1,0,1,0
S0_baseline,S0_baseline_P002_SB0.0,C:alpha=1.1;E:alpha=1.0;G:alpha=1.0;I:alpha=1.0;J:alpha=1.0,targeted_subsidy_0.0,0.7,0,0,30,0.9022044,0.743372,0.392748,671154.7,0.017336,0,1,0,1,0
S0_baseline,S0_baseline_P002_SB0.0,C:alpha=1.1;E:alpha=1.0;G:alpha=1.0;I:alpha=1.0;J:alpha=1.0,targeted_subsidy_0.0,1.0,0,0,30,0.9022044,0.743372,0.392748,671154.7,0.017336,0,1,0,1,0
S0_baseline,S0_baseline_P003_SB0.0,C:alpha=1.2;E:alpha=1.0;G:alpha=1.0;I:alpha=1.0;J:alpha=1.0,targeted_subsidy_0.0,0.2,1,1,3,0.88,0.635624,0.0,-420767.08,-0.012279,0,0,0,2,0
S0_baseline,S0_baseline_P003_SB0.0,C:alpha=1.2;E:alpha=1.0;G:alpha=1.0;I:alpha=1.0;J:alpha=1.0,targeted_subsidy_0.0,0.3,1,1,3,0.88,0.635624,0.0,-420767.08,-0.012279,0,0,0,2,0
S0_baseline,S0_baseline_P003_SB0.0,C:alpha=1.2;E:alpha=1.0;G:alpha=1.0;I:alpha=1.0;J:alpha=1.0,targeted_subsidy_0.0,0.5,1,1,3,0.88,0.635624,0.0,-420767.08,-0.012279,0,0,0,2,0
S0_baseline,S0_baseline_P003_SB0.0,C:alpha=1.2;E:alpha=1.0;G:alpha=1.0;I:alpha=1.0;J:alpha=1.0,targeted_subsidy_0.0,0.7,1,1,3,0.88,0.635624,0.0,-420767.08,-0.012279,0,0,0,2,0
S0_baseline,S0_baseline_P003_SB0.0,C:alpha=1.2;E:alpha=1.0;G:alpha=1.0;I:alpha=1.0;J:alpha=1.0,targeted_subsidy_0.0,1.0,1,1,3,0.88,0.635624,0.0,-420767.08,-0.012279,0,0,0,2,0
S0_baseline,S0_baseline_P004_SB0.0,C:alpha=1.3;E:alpha=1.0;G:alpha=1.0;I:alpha=1.0;J:alpha=1.0,targeted_subsidy_0.0,0.2,1,1,3,0.88,0.635624,0.0,-420767.08,-0.012279,0,0,0,2,0
S0_baseline,S0_baseline_P004_SB0.0,C:alpha=1.3;E:alpha=1.0;G:alpha=1.0;I:alpha=1.0;J:alpha=1.0,targeted_subsidy_0.0,0.3,1,1,3,0.88,0.635624,0.0,-420767.08,-0.012279,0,0,0,2,0
S0_baseline,S0_baseline_P004_SB0.0,C:alpha=1.3;E:alpha=1.0;G:alpha=1.0;I:alpha=1.0;J:alpha=1.0,targeted_subsidy_0.0,0.5,1,1,3,0.88,0.635624,0.0,-420767.08,-0.012279,0,0,0,2,0
S0_baseline,S0_baseline_P004_SB0.0,C:alpha=1.3;E:alpha=1.0;G:alpha=1.0;I:alpha=1.0;J:alpha=1.0,targeted_subsidy_0.0,0.7,1,1,3,0.88,0.635624,0.0,-420767.08,-0.012279,0,0,0,2,0
S0_baseline,S0_baseline_P004_SB0.0,C:alpha=1.3;E:alpha=1.0;G:alpha=1.0;I:alpha=1.0;J:alpha=1.0,targeted_subsidy_0.0,1.0,1,1,3,0.88,0.635624,0.0,-420767.08,-0.012279,0,0,0,2,0
S0_baseline,S0_baseline_P005_SB0.0,C:alpha=1.4;E:alpha=1.0;G:alpha=1.0;I:alpha=1.0;J:alpha=1.0,targeted_subsidy_0.0,0.2,1,1,3,0.88,0.635624,0.0,-420767.08,-0.012279,0,0,0,2,0
S0_baseline,S0_baseline_P005_SB0.0,C:alpha=1.4;E:alpha=1.0;G:alpha=1.0;I:alpha=1.0;J:alpha=1.0,targeted_subsidy_0.0,0.3,1,1,3,0.88,0.635624,0.0,-420767.08,-0.012279,0,0,0,2,0
S0_baseline,S0_baseline_P005_SB0.0,C:alpha=1.4;E:alpha=1.0;G:alpha=1.0;I:alpha=1.0;J:alpha=1.0,targeted_subsidy_0.0,0.5,1,1,3,0.88,0.635624,0.0,-420767.08,-0.012279,0,0,0,2,0
S0_baseline,S0_baseline_P005_SB0.0,C:alpha=1.4;E:alpha=1.0;G:alpha=1.0;I:alpha=1.0;J:alpha=1.0,targeted_subsidy_0.0,0.7,1,1,3,0.88,0.635624,0.0,-420767.08,-0.012279,0,0,0,2,0
S0_baseline,S0_baseline_P005_SB0.0,C:alpha=1.4;E:alpha=1.0;G:alpha=1.0;I:alpha=1.0;J:alpha=1.0,targeted_subsidy_0.0,1.0,1,1,3,0.88,0.635624,0.0,-420767.08,-0.012279,0,0,0,2,0
S0_baseline,S0_baseline_P006_SB0.0,C:alpha=1.5;E:alpha=1.0;G:alpha=1.0;I:alpha=1.0;J:alpha=1.0,targeted_subsidy_0.0,0.2,1,1,3,0.88,0.635624,0.0,-420767.08,-0.012279,0,0,0,2,0
S0_baseline,S0_baseline_P006_SB0.0,C:alpha=1.5;E:alpha=1.0;G:alpha=1.0;I:alpha=1.0;J:alpha=1.0,targeted_subsidy_0.0,0.3,1,1,3,0.88,0.635624,0.0,-420767.08,-0.012279,0,0,0,2,0
S0_baseline,S0_baseline_P006_SB0.0,C:alpha=1.5;E:alpha=1.0;G:alpha=1.0;I:alpha=1.0;J:alpha=1.0,targeted_subsidy_0.0,0.5,1,1,3,0.88,0.635624,0.0,-420767.08,-0.012279,0,0,0,2,0
S0_baseline,S0_baseline_P006_SB0.0,C:alpha=1.5;E:alpha=1.0;G:alpha=1.0;I:alpha=1.0;J:alpha=1.0,targeted_subsidy_0.0,0.7,1,1,3,0.88,0.635624,0.0,-420767.08,-0.012279,0,0,0,2,0
S0_baseline,S0_baseline_P006_SB0.0,C:alpha=1.5;E:alpha=1.0;G:alpha=1.0;I:alpha=1.0;J:alpha=1.0,targeted_subsidy_0.0,1.0,1,1,3,0.88,0.635624,0.0,-420767.08,-0.012279,0,0,0,2,0
S0_baseline,S0_baseline_P007_SB0.0,C:alpha=1.6;E:alpha=1.0;G:alpha=1.0;I:alpha=1.0;J:alpha=1.0,targeted_subsidy_0.0,0.2,1,1,3,0.88,0.635624,0.0,-420767.08,-0.012279,0,0,0,2,0
S0_baseline,S0_baseline_P007_SB0.0,C:alpha=1.6;E:alpha=1.0;G:alpha=1.0;I:alpha=1.0;J:alpha=1.0,targeted_subsidy_0.0,0.3,1,1,3,0.88,0.635624,0.0,-420767.08,-0.012279,0,0,0,2,0
S0_baseline,S0_baseline_P007_SB0.0,C:alpha=1.6;E:alpha=1.0;G:alpha=1.0;I:alpha=1.0;J:alpha=1.0,targeted_subsidy_0.0,0.5,1,1,3,0.88,0.635624,0.0,-420767.08,-0.012279,0,0,0,2,0
