scenario,epsilon,selection_rule,feasible_count,best_scheme_id,average_service_access_performance,minimum_service_access_performance,annual_net_profit,annual_total_cost,profit_rate,profit_compliant,aggregate_profit_rate_compliant,station_profit_compliant,feasible_station_count,fiscal_gap,annual_government_subsidy,station_plan,alpha_by_station,converged,iterations
S0_baseline,0.1,max_annual_net_profit,12,S0_baseline_max_annual_net_profit_0.1,0.726885,0.359926,736246.49,39042643.99,0.018857,0,1,0,2,0.0,2409000.0,C-小型;E-小型;G-小型;I-小型;J-大型,C:alpha=1.1;E:alpha=1.0;G:alpha=1.0;I:alpha=1.0;J:alpha=1.0,0,30
S0_baseline,0.1,closest_profit_rate_band,12,S0_baseline_closest_profit_rate_band_0.1,0.726885,0.359926,736246.49,39042643.99,0.018857,0,1,0,2,0.0,2409000.0,C-小型;E-小型;G-小型;I-小型;J-大型,C:alpha=1.1;E:alpha=1.0;G:alpha=1.0;I:alpha=1.0;J:alpha=1.0,0,30
S0_baseline,0.1,min_fiscal_gap,12,S0_baseline_min_fiscal_gap_0.1,0.743372,0.392748,671154.7,38714598.09,0.017336,0,1,0,1,0.0,2409000.0,C-小型;E-小型;G-小型;I-小型;J-大型,C:alpha=1.1;E:alpha=1.0;G:alpha=1.0;I:alpha=1.0;J:alpha=1.0,0,30
S0_baseline,0.2,max_annual_net_profit,7,S0_baseline_max_annual_net_profit_0.2,0.726885,0.359926,736246.49,39042643.99,0.018857,0,1,0,2,0.0,2409000.0,C-小型;E-小型;G-小型;I-小型;J-大型,C:alpha=1.1;E:alpha=1.0;G:alpha=1.0;I:alpha=1.0;J:alpha=1.0,0,30
S0_baseline,0.2,closest_profit_rate_band,7,S0_baseline_closest_profit_rate_band_0.2,0.726885,0.359926,736246.49,39042643.99,0.018857,0,1,0,2,0.0,2409000.0,C-小型;E-小型;G-小型;I-小型;J-大型,C:alpha=1.1;E:alpha=1.0;G:alpha=1.0;I:alpha=1.0;J:alpha=1.0,0,30
S0_baseline,0.2,min_fiscal_gap,7,S0_baseline_min_fiscal_gap_0.2,0.743372,0.392748,671154.7,38714598.09,0.017336,0,1,0,1,0.0,2409000.0,C-小型;E-小型;G-小型;I-小型;J-大型,C:alpha=1.1;E:alpha=1.0;G:alpha=1.0;I:alpha=1.0;J:alpha=1.0,0,30
S0_baseline,0.3,max_annual_net_profit,4,S0_baseline_max_annual_net_profit_0.3,0.726885,0.359926,736246.49,39042643.99,0.018857,0,1,0,2,0.0,2409000.0,C-小型;E-小型;G-小型;I-小型;J-大型,C:alpha=1.1;E:alpha=1.0;G:alpha=1.0;I:alpha=1.0;J:alpha=1.0,0,30
S0_baseline,0.3,closest_profit_rate_band,4,S0_baseline_closest_profit_rate_band_0.3,0.726885,0.359926,736246.49,39042643.99,0.018857,0,1,0,2,0.0,2409000.0,C-小型;E-小型;G-小型;I-小型;J-大型,C:alpha=1.1;E:alpha=1.0;G:alpha=1.0;I:alpha=1.0;J:alpha=1.0,0,30
S0_baseline,0.3,min_fiscal_gap,4,S0_baseline_min_fiscal_gap_0.3,0.743372,0.392748,671154.7,38714598.09,0.017336,0,1,0,1,0.0,2409000.0,C-小型;E-小型;G-小型;I-小型;J-大型,C:alpha=1.1;E:alpha=1.0;G:alpha=1.0;I:alpha=1.0;J:alpha=1.0,0,30
S0_baseline,0.4,none,0,,,,,,,,NA,NA,,NA,,C-小型;E-小型;G-小型;I-小型;J-大型,,,
