scenario,community,assigned_station,distance_satisfaction,response_satisfaction,price_satisfaction,service_satisfaction,demand_service_ratio,service_access_performance
S0,A,A,1.0,0.85,0.952119,0.93106,0.828737,0.771603
S0,B,A,0.75,0.85,0.952179,0.88109,0.828737,0.730191
S0,C,C,1.0,0.6,0.991766,0.875883,0.872418,0.764136
S0,D,A,0.6,0.85,0.951832,0.850916,0.828737,0.705186
S0,E,E,1.0,0.6,1.0,0.88,0.869071,0.764783
S0,F,E,0.9,0.6,1.0,0.86,0.869071,0.747401
S0,G,E,0.9,0.6,1.0,0.86,0.869071,0.747401
S0,H,A,0.6,0.85,0.951679,0.85084,0.828737,0.705122
S0,I,E,0.9,0.6,1.0,0.86,0.869071,0.747401
S0,J,A,0.9,0.85,0.951878,0.910939,0.828737,0.754929
S4,A,A,1.0,1.0,1.0,1.0,0.330264,0.330264
S4,B,A,0.75,1.0,1.0,0.95,0.330264,0.313751
S4,C,G,0.9,1.0,1.0,0.98,0.573552,0.562081
S4,D,G,0.75,1.0,1.0,0.95,0.573552,0.544874
S4,E,G,0.9,1.0,1.0,0.98,0.573552,0.562081
S4,F,G,0.9,1.0,1.0,0.98,0.573552,0.562081
S4,G,G,1.0,1.0,1.0,1.0,0.573552,0.573552
S4,H,A,0.6,1.0,1.0,0.92,0.330264,0.303843
S4,I,G,0.9,1.0,1.0,0.98,0.573552,0.562081
S4,J,A,0.9,1.0,1.0,0.98,0.330264,0.323659
