scenario,station,scale,selected_prices_by_service,selected_price_satisfaction_by_service,station_average_price_satisfaction,station_average_service_satisfaction,station_minimum_service_access_performance,annual_revenue,annual_government_subsidy,annual_direct_cost,annual_fixed_cost,annual_depreciation,annual_total_cost,annual_net_profit,profit_rate,profit_compliant,break_even_gap,over_8pct_excess,candidate_rank_within_station
S0,A,大型,助餐:10.00|日间照料:22.00|上门护理:30.00|康复理疗:28.00|助浴:25.00|紧急救助:0.00,助餐:1.00|日间照料:0.90|上门护理:1.00|康复理疗:1.00|助浴:1.00|紧急救助:1.00,0.983333,0.825667,0.825667,18373861.95,949000.0,17466146.62,1606000.0,22500.0,19094646.62,228215.34,0.011952,1,0.0,0.0,1
S0,A,大型,助餐:11.00|日间照料:20.00|上门护理:30.00|康复理疗:28.00|助浴:25.00|紧急救助:0.00,助餐:0.90|日间照料:1.00|上门护理:1.00|康复理疗:1.00|助浴:1.00|紧急救助:1.00,0.983333,0.825667,0.825667,18316732.25,949000.0,17552723.53,1606000.0,22500.0,19181223.53,84508.72,0.004406,1,0.0,0.0,2
S0,A,大型,助餐:10.00|日间照料:22.00|上门护理:30.00|康复理疗:28.00|助浴:27.50|紧急救助:0.00,助餐:1.00|日间照料:0.90|上门护理:1.00|康复理疗:1.00|助浴:0.90|紧急救助:1.00,0.966667,0.817333,0.817333,18188417.24,949000.0,17401386.61,1606000.0,22500.0,19029886.61,107530.63,0.005651,1,0.0,0.0,3
S0,A,大型,助餐:10.00|日间照料:22.00|上门护理:30.00|康复理疗:30.80|助浴:25.00|紧急救助:0.00,助餐:1.00|日间照料:0.90|上门护理:1.00|康复理疗:0.90|助浴:1.00|紧急救助:1.00,0.966667,0.817333,0.817333,18313234.31,949000.0,17342168.7,1606000.0,22500.0,18970668.7,291565.61,0.015369,1,0.0,0.0,4
S0,A,大型,助餐:10.00|日间照料:22.00|上门护理:33.00|康复理疗:28.00|助浴:25.00|紧急救助:0.00,助餐:1.00|日间照料:0.90|上门护理:0.90|康复理疗:1.00|助浴:1.00|紧急救助:1.00,0.966667,0.817333,0.817333,18188417.24,949000.0,17237198.43,1606000.0,22500.0,18865698.43,271718.81,0.014403,1,0.0,0.0,5
S0,A,大型,助餐:11.00|日间照料:20.00|上门护理:30.00|康复理疗:30.80|助浴:25.00|紧急救助:0.00,助餐:0.90|日间照料:1.00|上门护理:1.00|康复理疗:0.90|助浴:1.00|紧急救助:1.00,0.966667,0.817333,0.817333,18268656.78,949000.0,17437650.68,1606000.0,22500.0,19066150.68,151506.1,0.007946,1,0.0,0.0,6
S0,A,大型,助餐:11.00|日间照料:20.00|上门护理:33.00|康复理疗:28.00|助浴:25.00|紧急救助:0.00,助餐:0.90|日间照料:1.00|上门护理:0.90|康复理疗:1.00|助浴:1.00|紧急救助:1.00,0.966667,0.817333,0.817333,18143839.72,949000.0,17330465.33,1606000.0,22500.0,18958965.33,133874.39,0.007061,1,0.0,0.0,7
S0,A,大型,助餐:11.00|日间照料:22.00|上门护理:30.00|康复理疗:28.00|助浴:25.00|紧急救助:0.00,助餐:0.90|日间照料:0.90|上门护理:1.00|康复理疗:1.00|助浴:1.00|紧急救助:1.00,0.966667,0.817333,0.817333,18500459.9,949000.0,17275066.92,1606000.0,22500.0,18903566.92,545892.99,0.028878,1,0.0,0.0,8
S0,A,大型,助餐:10.00|日间照料:24.00|上门护理:30.00|康复理疗:28.00|助浴:25.00|紧急救助:0.00,助餐:1.00|日间照料:0.75|上门护理:1.00|康复理疗:1.00|助浴:1.00|紧急救助:1.00,0.958333,0.813167,0.813167,18450497.07,949000.0,17182810.72,1606000.0,22500.0,18811310.72,588186.35,0.031268,1,0.0,0.0,9
S0,A,大型,助餐:12.00|日间照料:20.00|上门护理:30.00|康复理疗:28.00|助浴:25.00|紧急救助:0.00,助餐:0.75|日间照料:1.00|上门护理:1.00|康复理疗:1.00|助浴:1.00|紧急救助:1.00,0.958333,0.813167,0.813167,18361796.52,949000.0,17369221.28,1606000.0,22500.0,18997721.28,313075.24,0.01648,1,0.0,0.0,10
S0,A,大型,助餐:11.00|日间照料:26.00|上门护理:36.00|康复理疗:30.80|助浴:45.00|紧急救助:0.00,助餐:0.90|日间照料:0.60|上门护理:0.75|康复理疗:0.90|助浴:0.60|紧急救助:1.00,0.791667,0.729833,0.729833,17268223.38,949000.0,15888018.27,1606000.0,22500.0,17516518.27,700705.11,0.040003,1,0.0,0.0,11
S0,A,大型,助餐:11.00|日间照料:22.00|上门护理:54.00|康复理疗:36.40|助浴:45.00|紧急救助:0.00,助餐:0.90|日间照料:0.90|上门护理:0.60|康复理疗:0.60|助浴:0.60|紧急救助:1.00,0.766667,0.717333,0.717333,16565582.66,949000.0,15212541.19,1606000.0,22500.0,16841041.19,673541.47,0.039994,1,0.0,0.0,12
