scenario_code,scenario_name,scheme_label,station_count,station_locations,build_cost_wan,geographic_population_coverage,served_population_coverage,served_demand_coverage,average_service_satisfaction,minimum_service_satisfaction,annual_net_profit_before_subsidy,annual_net_profit_after_policy_subsidy,capacity_safety_rate,max_station_utilization,fully_safe
S0,基准情景,coverage_priority,5,A;C;F;I;J,117.0,1.0,1.0,0.847617,0.826368,0.767341,-3530305.15,-1121305.15,0.0,1.0,0
S0,基准情景,safety_priority,2,F;I,77.0,0.89627,0.550117,0.557807,0.85699,0.83,-1656128.63,-50128.63,0.5,1.0,0
S1,老人增长率提高,coverage_priority,5,A;E;G;I;J,117.0,1.0,1.0,0.815468,0.842815,0.743738,-2587275.69,-178275.69,0.0,1.0,0
S1,老人增长率提高,safety_priority,2,F;I,90.0,0.89627,0.550117,0.557563,0.855052,0.83,-2107117.0,-209117.0,0.5,1.0,0
S2,转移概率变化,coverage_priority,5,A;C;E;G;J,118.0,1.0,1.0,0.834163,0.844577,0.759814,-2645241.7,-236241.7,0.0,1.0,0
S2,转移概率变化,safety_priority,2,F;I,77.0,0.89627,0.550117,0.557959,0.856119,0.83,-1659204.4,-53204.4,0.5,1.0,0
S3,固定成本上升,coverage_priority,5,A;C;F;I;J,117.0,1.0,1.0,0.847617,0.826368,0.767341,-4435505.15,-2026505.15,0.0,1.0,0
S3,固定成本上升,safety_priority,2,F;I,77.0,0.89627,0.550117,0.557807,0.85699,0.83,-2210928.63,-604928.63,0.5,1.0,0
S4,预算提高,coverage_priority,5,A;C;F;I;J,117.0,1.0,1.0,0.847617,0.826368,0.767341,-3530305.15,-1121305.15,0.0,1.0,0
S4,预算提高,safety_priority,2,F;I,77.0,0.89627,0.550117,0.557807,0.85699,0.83,-1656128.63,-50128.63,0.5,1.0,0
