scenario_code,scenario_name,scheme_label,price_scheme_detail,iteration_count,converged,profit_compliant,fair_satisfaction_compliant,feasible_station_count,average_service_satisfaction,minimum_service_satisfaction,vulnerable_service_satisfaction,low_income_service_satisfaction,low_income_served_coverage,annual_government_subsidy,annual_service_revenue,annual_direct_cost,annual_fixed_cost,annual_depreciation,annual_net_profit_before_subsidy,annual_net_profit_after_subsidy,annual_net_profit
S0,基准情景,financial_best,A:助餐13.0/日照26.0;C:助餐14.0/日照28.0;F:助餐13.0/日照26.0;I:助餐10.0/日照20.0;J:助餐10.0/日照20.0,3,1,1,0,5,0.545572,0.094353,0.431414,0.395063,0.808989,1959698.67,25877915.05,22422705.3,4526000.0,58500.0,-1129290.25,830408.42,830408.42
S0,基准情景,fairness_best,A:助餐11.0/日照22.0;C:助餐10.0/日照20.0;F:助餐13.0/日照26.0;I:助餐10.0/日照20.0;J:助餐11.0/日照22.0,30,0,0,1,1,0.789707,0.710044,0.65423,0.457749,0.578652,2310856.3,32939792.32,31215259.94,4526000.0,58500.0,-2859967.62,-549111.32,-549111.32
S1,老人增长率提高,financial_best,A:助餐11.0/日照22.0;E:助餐10.0/日照20.0;G:助餐10.0/日照20.0;I:助餐10.0/日照20.0;J:助餐12.0/日照24.0,30,0,1,0,5,0.656382,0.064549,0.684329,0.434235,1.0,2409000.0,36143776.92,33270145.9,4526000.0,58500.0,-1710868.99,698131.01,698131.01
S1,老人增长率提高,fairness_best,A:助餐10.0/日照20.0;E:助餐10.0/日照20.0;G:助餐10.0/日照20.0;I:助餐11.0/日照22.0;J:助餐11.0/日照22.0,30,0,0,0,0,0.743745,0.503157,0.68401,0.489693,0.769663,2409000.0,35820377.71,34020494.89,4526000.0,58500.0,-2784617.19,-375617.19,-375617.19
S2,转移概率变化,financial_best,A:助餐14.0/日照28.0;C:助餐10.0/日照20.0;E:助餐12.0/日照24.0;G:助餐16.0/日照32.0;J:助餐10.0/日照20.0,30,0,1,0,5,0.595449,0.128454,0.49885,0.372668,0.808989,2016585.07,29221036.94,26174188.49,4526000.0,59000.0,-1538151.55,478433.52,478433.52
S2,转移概率变化,fairness_best,A:助餐10.0/日照20.0;C:助餐11.0/日照22.0;E:助餐10.0/日照20.0;G:助餐10.0/日照20.0;J:助餐11.0/日照22.0,30,0,0,0,1,0.782007,0.537615,0.715817,0.55537,0.786517,2409000.0,36216477.42,33076689.4,4526000.0,59000.0,-1445211.98,963788.02,963788.02
S3,固定成本上升,financial_best,A:助餐13.0/日照26.0;C:助餐10.0/日照20.0;F:助餐14.0/日照28.0;I:助餐10.0/日照20.0;J:助餐11.0/日照22.0,30,0,0,0,3,0.672513,0.116612,0.630237,0.427804,0.808989,2303435.56,33340125.12,30642297.98,5431200.0,58500.0,-2791872.86,-488437.3,-488437.3
S3,固定成本上升,fairness_best,A:助餐11.0/日照22.0;C:助餐10.0/日照20.0;F:助餐14.0/日照28.0;I:助餐10.0/日照20.0;J:助餐11.0/日照22.0,30,0,0,1,2,0.789726,0.710044,0.654241,0.457774,0.578652,2303435.56,33060706.66,31146026.01,5431200.0,58500.0,-3575019.36,-1271583.8,-1271583.8
S4,预算提高,financial_best,A:助餐13.0/日照26.0;C:助餐14.0/日照28.0;F:助餐13.0/日照26.0;I:助餐10.0/日照20.0;J:助餐10.0/日照20.0,3,1,1,0,5,0.545572,0.094353,0.431414,0.395063,0.808989,1959698.67,25877915.05,22422705.3,4526000.0,58500.0,-1129290.25,830408.42,830408.42
S4,预算提高,fairness_best,A:助餐11.0/日照22.0;C:助餐10.0/日照20.0;F:助餐13.0/日照26.0;I:助餐10.0/日照20.0;J:助餐11.0/日照22.0,30,0,0,1,1,0.789707,0.710044,0.65423,0.457749,0.578652,2310856.3,32939792.32,31215259.94,4526000.0,58500.0,-2859967.62,-549111.32,-549111.32
