scenario,budget_limit,fixed_cost_multiplier,p12,p23,elderly_growth_rate,scheme_type,station_plan,served_population_coverage,weighted_served_population_coverage,served_demand_coverage,average_service_access_performance,minimum_service_access_performance,annual_government_subsidy,annual_net_profit,profit_rate,profit_compliant,converged,iterations,fiscal_gap_if_any
S0,120.0,1.0,0.045,0.1,0.07,financial_sustainable_scheme,C-小型;E-小型;G-小型;I-小型;J-大型,0.727363,0.727363,0.726529,0.634432,0.437503,2044000.0,-422243.34,-0.012501,0,1,7,422243.34
S0,120.0,1.0,0.045,0.1,0.07,fairness_priority_scheme,C-小型;E-小型;G-小型;I-小型;J-大型,0.727363,0.727363,0.726529,0.634432,0.437503,2044000.0,-422243.34,-0.012501,0,1,7,422243.34
S1,120.0,1.0,0.045,0.1,0.08,financial_sustainable_scheme,C-小型;E-小型;G-小型;I-小型;J-大型,0.69974,0.69974,0.698972,0.610367,0.421161,2044000.0,-420677.37,-0.012489,0,1,7,420677.37
S1,120.0,1.0,0.045,0.1,0.08,fairness_priority_scheme,C-小型;E-小型;G-小型;I-小型;J-大型,0.69974,0.69974,0.698972,0.610367,0.421161,2044000.0,-420677.37,-0.012489,0,1,7,420677.37
S2,120.0,1.0,0.055,0.095,0.07,financial_sustainable_scheme,C-小型;E-小型;G-小型;I-小型;J-大型,0.715865,0.715865,0.714996,0.624363,0.430185,2044000.0,-416894.22,-0.012298,0,1,7,416894.22
S2,120.0,1.0,0.055,0.095,0.07,fairness_priority_scheme,C-小型;E-小型;G-小型;I-小型;J-大型,0.715865,0.715865,0.714996,0.624363,0.430185,2044000.0,-416894.22,-0.012298,0,1,7,416894.22
S3,120.0,1.2,0.045,0.1,0.07,financial_sustainable_scheme,C-小型;E-小型;G-小型;I-小型;J-大型,0.727363,0.727363,0.726529,0.634432,0.437503,2044000.0,-1327443.34,-0.038275,0,1,7,1327443.34
S3,120.0,1.2,0.045,0.1,0.07,fairness_priority_scheme,C-小型;E-小型;G-小型;I-小型;J-大型,0.727363,0.727363,0.726529,0.634432,0.437503,2044000.0,-1327443.34,-0.038275,0,1,7,1327443.34
S4,140.0,1.0,0.045,0.1,0.07,financial_sustainable_scheme,A-小型;C-中型;G-大型;J-大型,0.363057,0.363057,0.363265,0.349556,0.303843,1022000.0,-1500016.99,-0.075836,0,1,1,1500016.99
S4,140.0,1.0,0.045,0.1,0.07,fairness_priority_scheme,A-小型;C-中型;G-大型;J-大型,0.363057,0.363057,0.363265,0.349556,0.303843,1022000.0,-1500016.99,-0.075836,0,1,1,1500016.99
