scenario,perturbed_parameter,parameter_relative_change,metric,baseline_value,scenario_value,metric_absolute_change,metric_relative_change,sensitivity_coefficient,sensitivity_level
S1,elderly_growth_rate,0.142857,q2_served_demand_coverage,0.847617,0.815468,-0.032149,-0.037929,-0.265501,low
S1,elderly_growth_rate,0.142857,q2_average_service_access_performance,0.712298,0.706027,-0.006271,-0.008804,-0.061627,low
S1,elderly_growth_rate,0.142857,q3_financial_annual_net_profit,830408.42,203840.35,-626568.07,-0.75453,-5.28171,high
S1,elderly_growth_rate,0.142857,q3_financial_profit_rate,0.030748,0.005333,-0.025415,-0.826558,-5.785905,high
S1,elderly_growth_rate,0.142857,q3_fairness_minimum_service_access_performance,0.0,0.0,0.0,NA,NA,NA
S2,transition_probabilities,0.136111,q2_served_demand_coverage,0.847617,0.834163,-0.013454,-0.015873,-0.116616,low
S2,transition_probabilities,0.136111,q2_average_service_access_performance,0.712298,0.722179,0.009881,0.013872,0.101917,low
S2,transition_probabilities,0.136111,q3_financial_annual_net_profit,830408.42,-445744.62,-1276153.04,-1.536778,-11.290611,high
S2,transition_probabilities,0.136111,q3_financial_profit_rate,0.030748,-0.013392,-0.04414,-1.435541,-10.546828,high
S2,transition_probabilities,0.136111,q3_fairness_minimum_service_access_performance,0.0,0.0,0.0,NA,NA,NA
S3,fixed_cost_multiplier,0.2,q2_served_demand_coverage,0.847617,0.847617,0.0,0.0,0.0,low
S3,fixed_cost_multiplier,0.2,q2_average_service_access_performance,0.712298,0.712298,0.0,0.0,0.0,low
S3,fixed_cost_multiplier,0.2,q3_financial_annual_net_profit,830408.42,-488437.3,-1318845.72,-1.588189,-7.940946,high
S3,fixed_cost_multiplier,0.2,q3_financial_profit_rate,0.030748,-0.013518,-0.044266,-1.439638,-7.198192,high
S3,fixed_cost_multiplier,0.2,q3_fairness_minimum_service_access_performance,0.0,0.608647,0.608647,NA,NA,NA
S4,budget_limit,0.166667,q2_served_demand_coverage,0.847617,1.0,0.152383,0.179778,1.078669,high
S4,budget_limit,0.166667,q2_average_service_access_performance,0.712298,0.897465,0.185167,0.259957,1.559743,high
S4,budget_limit,0.166667,q3_financial_annual_net_profit,830408.42,1641298.79,810890.37,0.976496,5.858975,high
S4,budget_limit,0.166667,q3_financial_profit_rate,0.030748,0.0363,0.005552,0.180565,1.083388,high
S4,budget_limit,0.166667,q3_fairness_minimum_service_access_performance,0.0,0.849389,0.849389,NA,NA,NA
